gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
A1BG	NM_130786	3.00	4.00	6.00	2.00	0.00	4.00	137.00	175.00	143.00	104.00	120.00	139.00
A1BG-AS1	NR_015380	7.00	4.00	5.00	2.00	3.00	2.00	36.00	28.00	28.00	27.00	26.00	26.00
A1CF	NM_001198818,NM_001198819,NM_001198820,NM_014576,NM_138932,NM_138933	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	3.00	0.00	0.00
A2M	NM_000014	1.00	1.00	1.00	0.00	0.00	0.00	143.00	114.00	112.00	136.00	123.00	155.00
A2M-AS1	NR_026971	0.00	0.00	0.00	0.00	0.00	0.00	4.00	6.00	8.00	8.00	11.00	9.00
A2ML1	NM_001282424,NM_144670	10.00	10.00	16.00	7.00	6.00	9.00	194.00	183.00	162.00	240.00	218.00	249.00
A2MP1	NR_040112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	NM_001080438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
A4GALT	NM_017436	317.00	303.00	279.00	1072.00	1045.00	1198.00	564.00	615.00	527.00	375.00	388.00	416.00
A4GNT	NM_016161	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AA06	NR_037584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AAAS	NM_001173466,NM_015665	275.00	206.00	222.00	379.00	315.00	377.00	1477.00	1716.00	1530.00	1288.00	1343.00	1555.00
AACS	NM_023928	120.00	97.00	98.00	155.00	149.00	173.00	667.00	816.00	732.00	801.00	800.00	857.00
AACSP1	NR_024035	0.00	0.00	0.00	0.00	0.00	0.00	17.00	15.00	9.00	11.00	6.00	9.00
AADAC	NM_001086	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL2	NM_207365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL2-AS1	NR_110202,NR_110203	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACL3	NM_001103170,NR_111984	0.00	1.00	4.00	1.00	5.00	3.00	3.00	1.00	2.00	5.00	6.00	3.00
AADACL4	NM_001013630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADACP1	NR_026915	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
AADAT	NM_001286682,NM_001286683,NM_016228,NM_182662	20.00	23.00	15.00	44.00	45.00	42.00	94.00	120.00	146.00	126.00	122.00	145.00
AAED1	NM_153698	15.00	7.00	6.00	8.00	10.00	5.00	62.00	47.00	32.00	55.00	39.00	33.00
AAGAB	NM_001271885,NM_001271886,NM_024666	90.00	109.00	119.00	161.00	135.00	140.00	573.00	568.00	576.00	552.00	485.00	505.00
AAK1	NM_014911	147.00	136.00	125.00	109.00	96.00	77.00	488.00	419.00	449.00	479.00	513.00	462.00
AAMDC	NM_024684	1.00	7.00	6.00	6.00	6.00	11.00	62.00	115.00	60.00	87.00	53.00	69.00
AAMP	NM_001087,NM_001302545	245.00	228.00	230.00	369.00	394.00	422.00	1195.00	1391.00	1103.00	1193.00	1256.00	1218.00
AANAT	NM_001088,NM_001166579,NR_110548	0.00	0.00	0.00	0.00	0.00	0.00	2.00	9.00	10.00	2.00	2.00	3.00
AAR2	NM_001271874,NM_015511	151.00	168.00	145.00	233.00	220.00	263.00	799.00	878.00	803.00	669.00	705.00	693.00
AARD	NM_001025357	4.00	2.00	5.00	0.00	6.00	2.00	15.00	17.00	11.00	24.00	16.00	16.00
AARS	NM_001605	342.00	373.00	333.00	658.00	696.00	656.00	4367.00	5129.00	4592.00	5175.00	5318.00	5333.00
AARS2	NM_020745	140.00	135.00	131.00	411.00	440.00	462.00	715.00	860.00	727.00	652.00	739.00	793.00
AARSD1	NM_001261434	44.99	59.00	40.49	64.26	97.65	81.04	306.57	377.07	264.50	345.56	330.81	326.00
AASDH	NM_001286668,NM_001286669,NM_001286670,NM_001286671,NM_001286672,NM_181806	21.00	18.00	31.00	52.00	48.00	48.00	326.00	315.00	334.00	329.00	318.00	298.00
AASDHPPT	NM_015423	84.00	77.00	112.00	157.00	131.00	141.00	792.00	716.00	601.00	808.00	766.00	708.00
AASS	NM_005763	60.00	53.00	92.00	255.00	201.00	180.00	6121.00	5402.00	5386.00	13628.00	12868.00	12353.00
AATBC	NR_026961	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00	1.00
AATF	NM_012138	147.00	179.00	160.00	250.00	266.00	254.00	1065.00	1196.00	987.00	940.00	907.00	897.00
AATK	NM_001080395,NM_004920	1.00	2.00	0.00	0.00	0.00	0.00	78.00	110.00	110.00	98.00	113.00	110.00
AATK-AS1	NR_027255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00
ABALON	NR_131907	0.00	0.00	0.00	2.00	3.00	3.00	5.00	9.00	2.00	4.00	8.00	2.00
ABAT	NM_000663,NM_001127448,NM_020686	23.00	16.00	18.00	3.00	6.00	12.00	244.00	200.00	197.00	235.00	290.00	215.00
ABCA1	NM_005502	115.00	109.00	102.00	354.00	362.00	282.00	533.00	533.00	440.00	354.00	326.00	293.00
ABCA10	NM_080282	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00
ABCA11P	NR_002451	7.00	6.00	4.00	9.00	9.00	15.35	67.49	90.00	79.00	87.25	87.00	77.71
ABCA12	NM_015657,NM_173076,NR_103740	1.00	0.00	0.00	1.00	1.00	2.00	2.00	1.00	2.00	1.00	0.00	1.00
ABCA13	NM_152701	9.00	9.00	10.00	21.00	16.00	15.00	1.00	1.00	4.00	3.00	3.00	3.00
ABCA17P	NR_003574	0.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	1.00	0.00	1.00	0.00
ABCA2	NM_001606,NM_212533	26.00	23.00	22.00	74.00	48.00	59.00	1086.00	1259.00	1193.00	919.00	1114.00	1204.00
ABCA3	NM_001089	9.00	7.00	9.00	20.00	16.00	13.00	1361.00	1465.00	1325.00	762.00	911.00	904.00
ABCA4	NM_000350	28.00	14.00	15.00	2.00	6.00	7.00	29.00	50.00	43.00	18.00	4.00	8.00
ABCA5	NM_018672,NM_172232	6.00	9.00	7.00	3.00	1.00	2.00	52.00	43.00	45.00	77.00	81.00	67.00
ABCA6	NM_080284	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCA7	NM_019112	29.00	21.00	34.00	72.00	70.00	94.00	693.00	782.00	701.00	658.00	735.00	790.00
ABCA8	NM_001288985,NM_001288986,NM_007168	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCA9	NM_080283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ABCA9-AS1	NR_126414	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ABCB1	NM_000927	1.00	3.00	3.00	0.00	0.00	0.00	12.00	7.00	9.00	5.00	1.00	8.00
ABCB10	NM_012089	61.00	44.00	55.00	132.00	119.00	107.00	160.00	186.00	160.00	154.00	149.00	137.00
ABCB11	NM_003742	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	2.00	2.00	0.00
ABCB4	NM_000443,NM_018849,NM_018850	0.00	1.00	0.00	0.00	1.00	0.00	19.00	18.00	20.00	28.00	27.00	15.00
ABCB5	NM_001163941,NM_001163942,NM_001163993,NM_178559	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCB6	NM_005689	38.00	39.00	39.00	98.00	97.00	82.00	645.00	703.00	626.00	692.00	774.00	803.00
ABCB7	NM_001271696,NM_001271697,NM_001271698,NM_001271699,NM_004299	51.00	33.00	64.00	75.00	75.00	88.00	629.00	651.00	582.00	733.00	661.00	683.00
ABCB8	NM_001282291,NM_001282292,NM_001282293,NM_007188	213.00	196.00	149.00	505.00	437.00	542.00	360.00	386.00	447.00	305.00	368.00	406.00
ABCB9	NM_001243013,NM_001243014,NM_019624,NM_019625,NM_203444	18.00	10.00	11.00	20.00	14.00	28.00	88.00	113.00	89.00	83.00	102.00	92.00
ABCC1	NM_004996_1	111.00	94.00	86.00	177.00	189.00	189.00	3447.00	3557.00	3078.00	3361.00	3585.00	3556.00
ABCC10	NM_001198934,NM_033450	64.00	63.00	60.00	130.00	111.00	138.00	331.00	366.00	362.00	306.00	329.00	319.00
ABCC11	NM_032583,NM_033151,NM_145186	0.00	0.00	0.00	0.00	0.00	1.00	3.00	4.00	1.00	1.00	2.00	2.00
ABCC12	NM_033226	0.00	0.00	1.00	0.00	1.00	2.00	2.00	3.00	1.00	0.00	1.00	2.00
ABCC13	NR_003087,NR_003088	4.00	5.00	1.00	28.00	29.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC2	NM_000392	9.00	10.00	6.00	13.00	20.00	13.00	9.00	9.00	8.00	13.00	7.00	7.00
ABCC3	NM_001144070,NM_003786	0.00	0.00	0.00	0.00	0.00	0.00	20.00	21.00	32.00	18.00	11.00	18.00
ABCC4	NM_001105515,NM_001301829,NM_001301830,NM_005845	48.00	40.00	33.00	19.00	24.00	19.00	321.00	357.00	332.00	285.00	258.00	265.00
ABCC5	NM_001023587,NM_005688	135.00	109.00	129.00	160.00	163.00	190.00	980.00	932.00	849.00	836.00	842.00	875.00
ABCC5-AS1	NR_046570	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6	NM_001079528,NM_001171	1.00	0.00	0.00	0.00	1.00	1.00	48.45	68.90	50.58	22.76	28.77	25.87
ABCC6P1	NR_003569	0.00	0.00	0.00	1.00	0.00	0.00	19.17	31.65	28.01	26.06	9.82	18.66
ABCC6P2	NR_023387_1	0.00	1.00	0.00	0.00	0.00	0.00	7.37	10.45	7.41	5.18	5.41	10.47
ABCC8	NM_000352,NM_001287174	0.00	0.00	1.00	0.00	0.00	0.00	64.00	77.00	96.00	65.00	54.00	59.00
ABCC9	NM_005691,NM_020297	8.00	6.00	14.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00
ABCD1	NM_000033	50.00	49.00	42.00	99.00	77.00	82.00	260.00	314.00	264.00	187.00	230.00	205.00
ABCD2	NM_005164	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ABCD3	NM_001122674,NM_002858	72.00	92.00	98.00	119.00	98.00	94.00	569.00	488.00	539.00	547.00	523.00	444.00
ABCD4	NM_005050,NR_003256	63.00	46.00	57.00	104.00	83.00	74.00	767.00	921.00	807.00	796.00	825.00	829.00
ABCE1	NM_001040876,NM_002940	312.00	359.00	374.00	528.00	547.00	509.00	1766.00	1839.00	1585.00	2169.00	1926.00	1946.00
ABCF1	NM_001025091_3,NM_001090_4	388.00	359.00	352.00	580.00	592.00	597.00	2844.00	3102.00	2740.00	2730.00	2839.00	2742.00
ABCF2	NM_005692,NM_007189	288.00	277.00	259.00	457.00	423.00	456.00	901.00	1029.00	905.00	834.00	886.00	937.00
ABCF3	NM_018358	119.00	96.00	106.00	217.00	197.00	263.00	445.00	564.00	490.00	411.00	459.00	445.00
ABCG1	NM_004915,NM_016818,NM_207174,NM_207627,NM_207628,NM_207629	0.00	0.00	0.00	1.00	0.00	1.00	43.00	59.00	42.00	48.00	50.00	48.00
ABCG2	NM_001257386,NM_004827	168.00	178.00	166.00	52.00	51.00	38.00	44.00	35.00	28.00	29.00	25.00	20.00
ABCG4	NM_001142505,NM_022169	3.00	1.00	5.00	0.00	3.00	4.00	89.00	94.00	85.00	58.00	82.00	81.00
ABCG5	NM_022436	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCG8	NM_022437	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD1	NM_032604	0.00	0.00	0.00	0.00	0.00	0.00	14.00	6.00	13.00	7.00	15.00	2.00
ABHD10	NM_001272069,NM_018394,NR_073570,NR_073571	52.00	46.00	41.00	64.00	53.00	45.00	440.00	337.00	320.00	342.00	380.00	338.00
ABHD11	NM_001145364,NM_001301058,NM_148912,NM_148913,NR_026910,NR_026912	37.00	36.00	33.00	35.00	42.00	45.00	247.00	306.00	257.00	235.00	217.00	238.00
ABHD11-AS1	NR_026690	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABHD12	NM_001042472,NM_015600	83.00	78.00	79.00	128.00	129.00	126.00	1043.00	1111.00	944.00	1034.00	1047.00	1147.00
ABHD12B	NM_001206673,NM_181814	57.00	62.00	65.00	273.00	274.00	232.00	14.00	10.00	28.00	10.00	5.00	2.00
ABHD13	NM_032859	42.00	49.00	36.00	31.00	36.00	32.00	189.00	161.00	163.00	225.00	193.00	179.00
ABHD14A	NM_015407	23.20	15.00	13.34	9.00	7.00	3.00	63.00	107.00	95.00	69.00	91.37	93.03
ABHD14A-ACY1	NR_037192	7.71	0.00	12.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.87	8.13
ABHD14B	NM_001146314,NM_001254753,NM_032750	42.00	45.00	30.00	53.00	52.00	50.00	254.00	214.00	256.00	205.00	199.00	220.00
ABHD15	NM_198147	15.00	20.00	17.00	43.00	40.00	30.00	78.00	129.00	107.00	78.00	85.00	92.00
ABHD16A	NM_001177515_2,NM_021160_3,NR_033488,NR_033489	76.00	65.00	88.00	85.00	93.00	87.00	347.00	457.00	407.00	362.00	342.00	403.00
ABHD16B	NM_080622	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00	1.00	0.00
ABHD17A	NM_001130111,NM_031213	223.00	235.00	232.00	296.00	302.00	391.00	1008.00	1186.00	1019.00	683.00	849.00	948.00
ABHD17B	NM_001025780,NM_016014	47.00	39.00	43.00	87.00	122.00	119.00	575.00	528.00	458.00	743.00	683.00	684.00
ABHD17C	NM_021214	79.00	63.00	70.00	59.00	69.00	89.00	618.00	599.00	564.00	480.00	429.00	493.00
ABHD2	NM_007011,NM_152924	150.00	98.00	134.00	126.00	134.00	144.00	836.00	716.00	650.00	860.00	876.00	774.00
ABHD3	NM_001308256,NM_001308257,NM_138340	14.00	29.00	12.00	26.00	26.00	31.00	98.00	79.00	98.00	104.00	79.00	90.00
ABHD4	NM_022060	72.00	65.00	77.00	66.00	56.00	85.00	586.00	695.00	630.00	659.00	693.00	797.00
ABHD5	NM_016006	44.00	62.00	42.00	74.00	84.00	54.00	154.00	178.00	175.00	210.00	182.00	187.00
ABHD6	NM_020676	37.00	44.00	41.00	44.00	38.00	35.00	185.00	276.00	215.00	156.00	142.00	162.00
ABHD8	NM_024527	2.00	6.00	6.00	2.00	5.00	3.00	290.00	386.00	274.00	332.00	339.00	389.00
ABI1	NM_001012750,NM_001012751,NM_001012752,NM_001178116,NM_001178119,NM_001178120,NM_001178121,NM_001178122,NM_001178123,NM_001178124,NM_001178125,NM_005470	113.00	152.00	135.00	186.00	180.00	160.00	675.00	671.00	657.00	715.00	685.00	715.00
ABI2	NM_001282925,NM_001282926,NM_001282927,NM_001282932,NM_005759	84.00	84.00	106.00	126.00	135.00	127.00	3266.00	3034.00	2803.00	3983.00	3928.00	3639.00
ABI3	NM_001135186,NM_016428	3.00	7.00	5.00	4.00	1.00	1.00	25.00	31.00	33.00	36.00	31.00	54.00
ABI3BP	NM_015429	1.00	3.00	0.00	1.00	0.00	5.00	3.00	1.00	0.00	1.00	0.00	2.00
ABL1	NM_005157,NM_007313	367.00	340.00	353.00	491.00	470.00	470.00	3339.00	3839.00	3301.00	3516.00	3799.00	3977.00
ABL2	NM_001136000,NM_001136001,NM_001168236,NM_001168237,NM_001168238,NM_001168239,NM_005158,NM_007314	79.00	73.00	99.00	129.00	135.00	98.00	799.00	746.00	614.00	801.00	826.00	813.00
ABLIM1	NM_001003407,NM_001003408,NM_002313,NM_006720	80.00	97.00	77.00	172.00	171.00	155.00	1928.00	1783.00	1726.00	1407.00	1437.00	1475.00
ABLIM2	NM_001130083,NM_001130084,NM_001130085,NM_001130086,NM_001130087,NM_001130088,NM_001286688,NM_032432	0.00	2.00	2.00	4.00	1.00	3.00	52.00	35.00	52.00	33.00	42.00	56.00
ABLIM3	NM_001301015,NM_001301018,NM_001301027,NM_001301028,NM_014945	2.00	5.00	5.00	3.00	3.00	7.00	26.00	55.00	42.00	10.00	30.00	32.00
ABO	NM_020469	8.00	12.00	6.00	2.00	3.00	1.00	8.00	7.00	5.00	2.00	4.00	2.00
ABR	NM_001092_2,NM_001159746_2,NM_001256847,NM_001282149_1,NM_021962_2	410.00	361.00	378.00	617.00	631.00	690.00	2424.00	2949.00	2635.00	2039.00	2224.00	2304.00
ABRA	NM_139166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABRACL	NM_021243	39.00	39.00	36.00	88.00	73.00	73.00	638.00	582.00	530.00	730.00	612.00	656.00
ABT1	NM_013375	154.00	196.00	151.00	277.00	275.00	304.00	604.00	739.00	698.00	564.00	539.00	589.00
ABTB1	NM_032548,NM_172027,NR_033429	4.00	4.00	2.00	3.00	3.00	14.00	58.00	104.00	82.00	69.00	64.00	66.00
ABTB2	NM_145804	196.00	217.00	238.00	136.00	99.00	167.00	345.00	362.00	307.00	263.00	334.00	347.00
ACAA1	NM_001130410,NM_001607,NR_024024	74.00	101.00	92.00	164.00	193.00	204.00	268.00	356.00	262.00	246.00	274.00	243.00
ACAA2	NM_006111	123.00	139.00	140.00	462.00	503.00	407.00	1853.00	1937.00	1569.00	2194.00	2054.00	1978.00
ACACA	NM_198834,NM_198836_1,NM_198837,NM_198838,NM_198839	406.00	408.00	400.00	727.00	728.00	730.00	3387.00	3123.00	2865.00	3759.00	3956.00	3679.00
ACACB	NM_001093	13.00	15.00	17.00	30.00	29.00	27.00	436.00	496.00	496.00	430.00	432.00	450.00
ACAD10	NM_001136538,NM_025247	55.00	49.00	40.00	65.00	54.00	60.00	650.00	781.00	675.00	588.00	602.00	596.00
ACAD11	NM_032169	30.00	22.00	24.00	35.09	32.94	26.63	718.27	648.72	607.40	740.19	681.89	695.07
ACAD8	NM_014384	31.00	29.00	28.00	59.00	62.00	57.00	325.00	364.00	297.00	372.00	409.00	369.00
ACAD9	NM_014049,NR_033426	93.00	103.00	91.00	104.00	121.00	124.00	317.00	379.00	304.00	316.00	356.00	356.00
ACADL	NM_001608	0.00	0.00	0.00	0.00	0.00	0.00	8.00	1.00	8.00	3.00	2.00	1.00
ACADM	NM_000016,NM_001127328,NM_001286042,NM_001286043,NM_001286044	42.00	63.00	43.00	90.00	102.00	89.00	530.00	575.00	477.00	728.00	595.00	560.00
ACADS	NM_000017,NM_001302554	15.00	19.00	7.00	36.00	53.00	45.00	131.00	199.00	162.00	140.00	130.00	156.00
ACADSB	NM_001609	31.00	35.00	24.00	21.00	15.00	19.00	661.00	601.00	645.00	518.00	523.00	499.00
ACADVL	NM_000018,NM_001033859,NM_001270447,NM_001270448	178.00	190.00	192.00	126.00	126.00	134.00	2359.00	2607.00	2588.00	1831.00	2001.00	2000.00
ACAN	NM_001135,NM_013227	68.00	41.00	58.00	34.00	42.00	34.00	168.00	168.00	162.00	73.00	77.00	92.00
ACAP1	NM_014716	0.00	0.00	1.00	0.00	1.00	1.00	183.00	263.00	185.00	271.00	349.00	279.00
ACAP2	NM_012287	71.00	85.00	83.00	161.00	128.00	105.00	891.00	757.00	671.00	917.00	819.00	745.00
ACAP3	NM_030649	59.00	70.00	60.00	88.00	83.00	90.00	366.00	543.00	557.00	418.00	446.00	488.00
ACAT1	NM_000019	38.00	40.00	33.00	60.00	69.00	68.00	390.00	426.00	372.00	557.00	484.00	471.00
ACAT2	NM_001303253,NM_005891	201.00	252.00	209.00	342.00	296.00	349.00	1099.00	1178.00	1020.00	1118.00	1070.00	1065.00
ACBD3	NM_022735	140.00	131.00	182.00	201.00	204.00	169.00	732.00	691.00	592.00	886.00	743.00	798.00
ACBD4	NM_001135704,NM_001135705,NM_001135706,NM_001135707,NM_024722	2.00	3.00	4.00	1.00	2.00	8.00	249.00	339.00	340.00	271.00	295.00	305.00
ACBD5	NM_001042473,NM_001271512,NM_001301251,NM_001301252,NM_001301253,NM_001301254,NM_145698	25.00	30.00	33.00	33.00	40.00	26.00	314.00	317.00	264.00	353.00	314.00	289.00
ACBD6	NM_032360	51.00	35.00	48.00	81.00	80.00	71.00	583.00	629.00	629.00	730.00	711.00	738.00
ACBD7	NM_001039844	7.00	4.00	3.00	27.00	19.00	22.00	519.00	411.00	489.00	550.00	474.00	525.00
ACCS	NM_001127219,NM_032592	1.00	1.00	1.00	0.00	1.00	3.00	50.00	74.00	65.00	21.00	37.00	45.00
ACCSL	NM_001031854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACD	NM_001082486,NM_001082487,NM_022914	54.00	34.00	39.00	85.00	97.00	119.00	521.00	685.00	619.00	534.00	602.00	704.00
ACE	NM_000789,NM_001178057,NM_152830	10.00	18.00	7.00	61.00	42.00	33.00	134.00	109.00	95.00	76.00	85.00	112.00
ACE2	NM_021804	2.00	1.00	0.00	3.00	1.00	2.00	10.00	2.00	1.00	5.00	0.00	0.00
ACER1	NM_133492	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00
ACER2	NM_001010887	31.00	19.00	24.00	88.00	83.00	78.00	147.00	130.00	98.00	124.00	153.00	165.00
ACER3	NM_001300953,NM_001300954,NM_001300955,NM_018367	75.00	54.00	64.00	21.00	29.00	33.00	413.00	299.00	368.00	435.00	362.00	345.00
ACHE	NM_000665,NM_001282449,NM_001302621,NM_001302622,NM_015831	62.00	48.00	50.00	45.00	35.00	32.00	124.00	138.00	122.00	75.00	91.00	96.00
ACIN1	NM_001164814,NM_001164815,NM_001164816,NM_001164817,NM_014977	525.00	560.00	514.00	882.00	832.00	916.00	3847.00	4347.00	4156.00	4448.00	4882.00	4653.00
ACKR1	NM_001122951,NM_002036	0.00	0.00	0.00	0.00	0.00	0.00	14.00	12.00	13.00	5.00	6.00	11.00
ACKR2	NM_001296	27.00	24.00	19.00	5.00	7.00	3.00	0.00	0.00	3.00	2.00	0.00	4.00
ACKR3	NM_020311	274.00	288.00	320.00	117.00	141.00	127.00	47.00	62.00	55.00	30.00	28.00	48.00
ACKR4	NM_016557,NM_178445	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00
ACLY	NM_001096,NM_001303274,NM_001303275,NM_198830	798.00	816.00	858.00	1139.00	1148.00	1287.00	6924.00	8063.00	6303.00	6969.00	7346.00	7367.00
ACMSD	NM_001307983,NM_138326	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACO1	NM_001278352,NM_002197	137.00	114.00	127.00	116.00	101.00	108.00	1746.00	1769.00	1544.00	1563.00	1413.00	1566.00
ACO2	NM_001098	522.00	523.00	571.00	1138.00	1134.00	1226.00	1996.00	2293.00	1944.00	1744.00	1851.00	1939.00
ACOT1	NM_001037161	1.40	8.83	1.55	8.12	8.88	5.03	53.95	50.34	39.35	43.47	35.82	61.49
ACOT11	NM_015547,NM_147161	10.00	6.00	11.00	27.00	40.00	41.00	73.00	85.00	63.00	82.00	116.00	94.00
ACOT12	NM_130767	0.00	0.00	0.00	0.00	1.00	0.00	3.00	0.00	1.00	1.00	4.00	1.00
ACOT13	NM_001160094,NM_018473	19.00	21.00	29.00	68.00	71.00	62.00	510.00	511.00	485.00	653.00	564.00	614.00
ACOT2	NM_006821,NR_046028	18.60	16.17	23.45	20.88	21.12	33.97	159.05	209.66	167.65	143.53	155.18	141.51
ACOT4	NM_152331	15.00	10.00	6.00	39.00	30.00	35.00	31.00	37.00	38.00	23.00	31.00	19.00
ACOT6	NM_001037162	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	0.00	0.00	0.00
ACOT7	NM_007274,NM_181864,NM_181865,NM_181866	81.00	94.00	92.00	261.00	233.00	303.00	1466.00	1861.00	1672.00	1738.00	1909.00	2024.00
ACOT8	NM_005469	24.00	23.00	24.00	60.00	70.00	56.00	297.00	331.00	292.00	285.00	317.00	271.00
ACOT9	NM_001033583,NM_001037171	39.00	44.00	46.00	43.00	33.00	46.00	403.00	437.00	379.00	557.00	479.00	508.00
ACOX1	NM_001185039,NM_004035,NM_007292	93.00	87.00	106.00	186.00	221.00	213.00	399.00	369.00	352.00	439.00	441.00	395.00
ACOX2	NM_003500	0.00	4.00	0.00	2.00	3.00	3.00	37.00	48.00	45.00	50.00	42.00	46.00
ACOX3	NM_001101667,NM_003501	28.00	32.00	24.00	21.00	23.00	11.00	210.00	234.00	229.00	171.00	175.00	171.00
ACOXL	NM_001142807	6.00	24.00	2.00	33.00	29.00	27.00	177.00	214.00	173.00	155.00	157.00	173.00
ACP1	NM_001040649,NM_004300,NM_007099,NR_024080	204.00	179.00	155.00	246.00	251.00	214.00	1557.00	1503.00	1432.00	1641.00	1470.00	1490.00
ACP2	NM_001302489,NM_001302490,NM_001302491,NM_001302492,NM_001610	89.00	71.00	90.00	78.00	81.00	81.00	406.00	462.00	454.00	349.00	414.00	410.00
ACP5	NM_001111034,NM_001111035,NM_001111036,NM_001611	28.00	23.00	22.00	82.00	57.00	87.00	126.00	167.00	119.00	128.00	119.00	143.00
ACP6	NM_016361	9.00	14.00	9.00	21.00	27.00	20.00	297.00	290.00	315.00	247.00	286.00	254.00
ACPP	NM_001099,NM_001134194,NM_001292037	19.00	15.00	14.00	6.00	6.00	1.00	21.00	20.00	14.00	9.00	13.00	12.00
ACPT	NM_033068	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACR	NM_001097	0.00	0.00	0.00	0.00	0.00	0.00	3.00	4.00	16.00	5.00	4.00	5.00
ACRBP	NM_032489	2.00	0.00	7.00	2.00	0.00	1.00	121.00	123.00	151.00	102.00	89.00	111.00
ACRC	NM_052957	2.00	1.00	3.00	6.00	6.00	3.00	21.00	21.00	16.00	12.00	18.00	10.00
ACRV1	NM_001612,NM_020069,NM_020107,NM_020108	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00
ACSBG1	NM_001199377,NM_015162	0.00	2.00	2.00	4.00	4.00	1.00	45.00	47.00	81.00	49.00	56.00	53.00
ACSBG2	NM_001289177,NM_001289178,NM_001289179,NM_001289180,NM_030924	3.00	1.00	0.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ACSF2	NM_001288968,NM_001288969,NM_001288970,NM_001288971,NM_001288972,NM_025149,NR_110232	18.00	14.00	14.00	33.00	39.00	37.00	211.00	219.00	225.00	136.00	145.00	171.00
ACSF3	NM_001127214,NM_001243279,NM_001284316,NM_174917,NR_045667,NR_104293	49.00	38.00	50.00	67.00	64.00	63.00	305.00	350.00	248.00	252.00	245.00	261.00
ACSL1	NM_001286708,NM_001286710,NM_001286711,NM_001286712,NM_001995	46.00	38.00	44.00	12.00	20.00	9.00	190.00	174.00	164.00	101.00	102.00	82.00
