gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
COL4A1	NM_001303110,NM_001845	3366.00	3573.00	3825.00	706.00	659.00	638.00	3620.00	4042.00	3058.00	3523.00	3557.00	3537.00
COL4A2	NM_001846	3100.00	3112.00	3107.00	517.00	514.00	599.00	3906.00	4678.00	3862.00	3601.00	3923.00	4171.00
COL4A2-AS1	NR_046583	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COL4A3	NM_000091	0.00	0.00	1.00	0.00	0.00	0.00	28.00	28.00	25.00	5.00	5.00	8.00
COL4A3BP	NM_001130105,NM_005713,NM_031361	116.00	119.00	159.00	259.00	304.00	219.00	1004.00	920.00	751.00	1045.00	936.00	879.00
COL4A4	NM_000092	0.00	0.00	1.00	0.00	2.00	0.00	96.00	76.00	77.00	39.00	45.00	55.00
COL4A5	NM_000495,NM_033380	63.00	44.00	55.00	38.00	43.00	34.00	1883.00	2045.00	1974.00	1472.00	1460.00	1430.00
COL4A6	NM_001287758,NM_001287759,NM_001287760,NM_001847,NM_033641	11.00	8.00	16.00	5.00	3.00	6.00	2343.00	2926.00	2535.00	1450.00	1406.00	1386.00
COL5A1	NM_000093,NM_001278074	4029.00	3849.00	3914.00	713.00	618.00	744.00	1014.00	1270.00	1044.00	687.00	844.00	876.00
COL5A2	NM_000393	776.00	805.00	873.00	113.00	118.00	157.00	426.00	488.00	330.00	400.00	397.00	373.00
COL5A3	NM_015719	22.00	19.00	17.00	5.00	4.00	7.00	112.00	106.00	111.00	130.00	140.00	135.00
COL6A1	NM_001848	5007.00	5014.00	4984.00	1264.00	1299.00	1439.00	9719.00	11194.00	9948.00	5368.00	5997.00	6243.00
COL6A2	NM_001849,NM_058174,NM_058175	3258.00	3441.00	3190.00	540.00	547.00	608.00	6650.00	8270.00	6368.00	3728.00	4488.00	4683.00
COL6A3	NM_004369,NM_057164,NM_057165,NM_057166,NM_057167	1734.00	1564.00	1909.00	364.00	366.00	366.00	357.00	385.00	304.00	160.00	173.00	194.00
COL6A4P1	NR_027927	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	1.00	2.00	1.00	2.00
COL6A4P2	NR_027898	0.00	1.00	0.00	0.00	1.00	0.00	11.00	9.00	7.00	6.00	10.00	12.00
COL6A5	NM_001278298,NM_153264,NR_022012	1.00	1.00	2.00	1.00	1.00	0.00	0.00	1.00	3.00	0.00	0.00	2.00
COL6A6	NM_001102608	11.00	11.00	18.00	8.00	2.00	5.00	21.00	28.00	29.00	6.00	6.00	7.00
COL7A1	NM_000094	21.00	15.00	26.00	25.00	20.00	27.00	249.00	326.00	339.00	224.00	333.00	282.00
COL8A1	NM_001850,NM_020351	2.00	0.00	1.00	0.00	0.00	0.00	24.00	19.00	14.00	8.00	20.00	12.00
COL8A2	NM_001294347,NM_005202	15.00	13.00	14.00	1.00	0.00	1.00	77.00	94.00	84.00	89.00	98.00	112.00
COL9A1	NM_001851,NM_078485	0.00	0.00	0.00	0.00	0.00	0.00	268.00	310.00	316.00	194.00	273.00	238.00
COL9A2	NM_001852	5.00	3.00	5.00	4.00	1.00	4.00	246.00	358.00	351.00	141.00	159.00	151.00
COL9A3	NM_001853	84.00	94.00	91.00	301.00	308.00	351.00	1272.00	1602.00	1248.00	1081.00	1386.00	1344.00
COLCA1	NM_001302644,NM_001302645,NM_001302646,NM_001302647,NM_001302648,NM_207429	1.00	1.00	0.00	1.00	0.00	0.00	8.00	11.00	17.00	9.00	20.00	12.00
COLCA2	NM_001136105,NM_001271457,NM_001271458	2.00	1.00	1.00	0.00	0.00	0.00	39.00	30.00	65.00	30.00	30.00	37.00
COLEC10	NM_006438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COLEC11	NM_001255982,NM_001255983,NM_001255984,NM_001255985,NM_001255986,NM_001255987,NM_001255988,NM_001255989,NM_024027,NM_199235,NR_045659	0.00	1.00	4.00	3.00	1.00	2.00	2.00	4.00	5.00	4.00	6.00	6.00
COLEC12	NM_130386	619.00	663.00	693.00	105.00	105.00	105.00	171.00	211.00	121.00	24.00	43.00	35.00
COLGALT1	NM_024656	532.00	496.00	428.00	542.00	503.00	577.00	1823.00	2061.00	1796.00	1696.00	1781.00	1879.00
COLGALT2	NM_001303420,NM_001303421,NM_015101	7.00	4.00	8.00	2.00	3.00	1.00	169.00	183.00	161.00	109.00	114.00	97.00
COLQ	NM_005677,NM_080538,NM_080539	7.00	0.00	1.00	1.00	0.00	0.00	32.00	47.00	53.00	30.00	29.00	28.00
COMMD1	NM_152516	43.00	52.00	35.00	44.00	32.00	36.00	239.00	283.00	222.00	233.00	199.00	260.00
COMMD10	NM_001308080,NM_016144	37.00	23.00	27.00	48.00	40.00	61.00	301.00	293.00	278.00	257.00	221.00	249.00
COMMD2	NM_016094	90.00	91.00	97.00	113.00	94.00	88.00	616.00	562.00	554.00	692.00	567.00	548.00
COMMD3	NM_012071	58.00	53.38	47.00	47.63	39.95	39.36	123.24	133.24	94.96	31.30	34.34	31.27
COMMD3-BMI1	NM_001204062	0.00	41.33	0.00	32.61	56.19	31.95	112.36	281.63	131.34	57.76	43.57	64.37
COMMD4	NM_001284377,NM_001284378,NM_001284379,NM_017828,NR_104312,NR_104313	128.00	135.00	123.00	195.00	179.00	219.00	546.00	705.00	628.00	548.00	612.00	669.00
COMMD5	NM_001081003,NM_001081004,NM_001287237,NM_014066	49.00	26.00	36.00	52.00	93.00	86.00	147.00	267.00	201.00	155.00	176.00	180.00
COMMD6	NM_001287392,NM_001287393,NM_001287394,NM_203495,NM_203497	25.00	42.00	37.00	34.00	33.00	36.00	450.00	425.00	406.00	465.00	406.00	489.00
COMMD7	NM_001099339,NM_053041	109.00	87.00	91.00	94.00	99.00	94.00	873.00	857.00	969.00	949.00	956.00	917.00
COMMD8	NM_017845	19.00	18.00	26.00	13.00	13.00	11.00	105.00	90.00	90.00	85.00	103.00	88.00
