name,group
ITGB6,Non bivalent
RBMS1,Non bivalent
AHCTF1P1,Non bivalent
DPP4,Ni_higher_than_Pr
FAP,Non bivalent
IFIH1,Always_up
FIGN,Non bivalent
GRB14,Always_up
COBLL1,Always_up
GALNT3,Always_up
TTC21B,Ni_higher_than_Pr
STK39,Always_up
SPC25,Non bivalent
LRP2,Always_up
FASTKD1,Non bivalent
METTL5,Non bivalent
LINC01124,Always_up
TLK1,Non bivalent
METTL8,Non bivalent
SLC25A12,Non bivalent
DLX2,Always_up
SP3,Non bivalent
OLA1,Non bivalent
CIR1,Non bivalent
GPR155,Pr_higher_than_Ni
WIPF1,Always_up
CHN1,Non bivalent
ATF2,Ni_higher_than_Pr
ATP5G3,Non bivalent
KIAA1715,Non bivalent
HOXD-AS2,Pr_higher_than_Ni
HAGLR,Pr_higher_than_Ni
LINC01116,Always_up
NFE2L2,Non bivalent
TTC30B,Non bivalent
TTC30A,Ni_higher_than_Pr
PDE11A,Non bivalent
PRKRA,Non bivalent
FKBP7,Non bivalent
CCDC141,Non bivalent
SESTD1,Non bivalent
CWC22,Non bivalent
FRZB,Ni_higher_than_Pr
NCKAP1,Non bivalent
TFPI,Non bivalent
COL5A2,Ni_higher_than_Pr
SLC40A1,Pr_higher_than_Ni
OSGEPL1,Non bivalent
ORMDL1,Non bivalent
HIBCH,Non bivalent
NEMP2,Non bivalent
STAT1,Always_up
TMEFF2,Always_up
STK17B,Always_up
HECW2,Always_up
GTF3C3,Always_up
PGAP1,Ni_higher_than_Pr
ANKRD44,Always_up
SF3B1,Non bivalent
HSPD1,Non bivalent
SATB2,Always_up
TYW5,Non bivalent
KCTD18,Always_up
CLK1,Non bivalent
PPIL3,Non bivalent
ORC2,Non bivalent
FAM126B,Non bivalent
TRAK2,Non bivalent
ALS2CR11,Non bivalent
TMEM237,Non bivalent
ALS2,Non bivalent
SUMO1,Non bivalent
ICA1L,Non bivalent
WDR12,Non bivalent
RAPH1,Non bivalent
INO80D,Non bivalent
GCSHP3,Non bivalent
NDUFS1,Non bivalent
GPR1,Non bivalent
MDH1B,Non bivalent
KLF7,Non bivalent
METTL21A,Non bivalent
FZD5,Non bivalent
PLEKHM3,Non bivalent
CRYGD,Non bivalent
CRYGB,Non bivalent
IDH1,Non bivalent
KANSL1L,Non bivalent
LANCL1,Non bivalent
ERBB4,Always_up
IKZF2,Ni_higher_than_Pr
BARD1,Non bivalent
FN1,Always_up
LINC00607,Non bivalent
MREG,Non bivalent
PECR,Non bivalent
IGFBP5,Ni_higher_than_Pr
TNS1,Non bivalent
AAMP,Non bivalent
TMBIM1,Non bivalent
USP37,Non bivalent
ZNF142,Non bivalent
RNF25,Non bivalent
CRYBA2,Pr_higher_than_Ni
IHH,Pr_higher_than_Ni
NHEJ1,Non bivalent
CNPPD1,Non bivalent
ABCB6,Non bivalent
ATG9A,Non bivalent
GLB1L,Non bivalent
TUBA4A,Always_up
PTPRN,Always_up
DNPEP,Non bivalent
CHPF,Non bivalent
OBSL1,Non bivalent
EPHA4,Ni_higher_than_Pr
PAX3,Always_up
FARSB,Non bivalent
AP1S3,Non bivalent
WDFY1,Non bivalent
SERPINE2,Always_up
FAM124B,Non bivalent
CUL3,Non bivalent
IRS1,Non bivalent
LOC654841,Non bivalent
SLC19A3,Non bivalent
PID1,Always_up
DNER,Always_up
TRIP12,Non bivalent
SLC16A14,Always_up
SP110,Ni_higher_than_Pr
NCL,Non bivalent
NMUR1,Non bivalent
PDE6D,Non bivalent
NPPC,Always_up
ECEL1P2,Pr_higher_than_Ni
ECEL1,Always_up
TIGD1,Non bivalent
NGEF,Pr_higher_than_Ni
USP40,Ni_higher_than_Pr
HJURP,Non bivalent
MSL3P1,Always_up
ARL4C,Always_up
GBX2,Always_up
IQCA1,Always_up
COL6A3,Always_up
RAB17,Non bivalent
ILKAP,Always_up
HES6,Always_up
PER2,Non bivalent
HDAC4,Non bivalent
NDUFA10,Non bivalent
MYEOV2,Non bivalent
ANKMY1,Always_up
CAPN10-AS1,Non bivalent
KIF1A,Non bivalent
MTERF4,Non bivalent
PASK,Non bivalent
HDLBP,Non bivalent
STK25,Non bivalent
THAP4,Non bivalent
DTYMK,Non bivalent
CNTN6,Non bivalent
CNTN4,Always_up
TRNT1,Non bivalent
LRRN1,Always_up
SETMAR,Non bivalent
ITPR1,Always_up
BHLHE40,Non bivalent
ARL8B,Non bivalent
EDEM1,Non bivalent
LMCD1,Non bivalent
LINC00312,Non bivalent
THUMPD3,Ni_higher_than_Pr
SETD5,Non bivalent
MTMR14,Non bivalent
BRPF1,Non bivalent
OGG1,Non bivalent
ARPC4,Non bivalent
ARPC4-TTLL3,Non bivalent
TTLL3,Non bivalent
JAGN1,Non bivalent
IL17RE,Non bivalent
IL17RC,Non bivalent
CRELD1,Non bivalent
EMC3-AS1,Non bivalent
FANCD2,Non bivalent
BRK1,Non bivalent
VHL,Non bivalent
IRAK2,Non bivalent
TATDN2,Non bivalent
GHRLOS,Non bivalent
LINC00852,Non bivalent
SLC6A11,Always_up
HRH1,Non bivalent
ATG7,Non bivalent
SYN2,Ni_higher_than_Pr
PPARG,Pr_higher_than_Ni
TSEN2,Non bivalent
MKRN2,Non bivalent
CAND2,Non bivalent
HDAC11,Non bivalent
FBLN2,Non bivalent
TPRXL,Non bivalent
TMEM43,Non bivalent
LSM3,Always_up
SLC6A6,Non bivalent
CCDC174,Non bivalent
FGD5,Non bivalent
NR2C2,Ni_higher_than_Pr
CAPN7,Non bivalent
SH3BP5-AS1,Non bivalent
EAF1,Non bivalent
BTD,Non bivalent
OXNAD1,Non bivalent
PLCL2,Ni_higher_than_Pr
LOC339862,Non bivalent
RAB5A,Non bivalent
KAT2B,Non bivalent
SGOL1-AS1,Non bivalent
ZNF385D-AS1,Non bivalent
UBE2E2,Always_up
UBE2E1,Ni_higher_than_Pr
RPL15,Non bivalent
NR1D2,Non bivalent
RARB,Non bivalent
OXSM,Non bivalent
CMC1,Non bivalent
RBMS3,Non bivalent
TGFBR2,Always_up
STT3B,Non bivalent
ZNF860,Always_up
GPD1L,Always_up
CMTM8,Pr_higher_than_Ni
CMTM7,Non bivalent
CNOT10,Non bivalent
TRIM71,Non bivalent
CRTAP,Non bivalent
FBXL2,Non bivalent
PDCD6IP,Non bivalent
STAC,Always_up
MLH1,Non bivalent
GOLGA4,Non bivalent
ITGA9,Always_up
CTDSPL,Non bivalent
VILL,Non bivalent
MYD88,Non bivalent
OXSR1,Non bivalent
XYLB,Non bivalent
ACVR2B,Non bivalent
EXOG,Non bivalent
WDR48,Non bivalent
TTC21A,Non bivalent
CCR8,Non bivalent
SLC25A38,Non bivalent
RPSA,Non bivalent
EIF1B,Non bivalent
ENTPD3,Always_up
RPL14,Non bivalent
ZNF619,Non bivalent
ZNF620,Always_up
ZNF621,Non bivalent
CTNNB1,Ni_higher_than_Pr
TRAK1,Non bivalent
VIPR1,Non bivalent
SS18L2,Non bivalent
NKTR,Non bivalent
ZBTB47,Non bivalent
ACKR2,Non bivalent
ZNF662,Non bivalent
FAM198A,Always_up
SNRK,Non bivalent
ABHD5,Non bivalent
TCAIM,Non bivalent
ZKSCAN7,Ni_higher_than_Pr
ZNF197,Non bivalent
ZNF35,Non bivalent
ZNF502,Non bivalent
ZNF501,Non bivalent
KIF15,Ni_higher_than_Pr
TMEM42,Non bivalent
EXOSC7,Non bivalent
LARS2,Non bivalent
LIMD1,Pr_higher_than_Ni
SACM1L,Non bivalent
CXCR6,Non bivalent
RTP3,Non bivalent
TDGF1,Non bivalent
PTH1R,Non bivalent
NBEAL2,Non bivalent
KIF9-AS1,Non bivalent
KLHL18,Non bivalent
PTPN23,Non bivalent
DHX30,Non bivalent
CAMP,Non bivalent
ZNF589,Non bivalent
TMA7,Non bivalent
ATRIP,Non bivalent
TREX1,Non bivalent
ARIH2,Non bivalent
P4HTM,Non bivalent
WDR6,Non bivalent
NDUFAF3,Non bivalent
KLHDC8B,Non bivalent
CCDC36,Non bivalent
TCTA,Non bivalent
DAG1,Non bivalent
BSN,Pr_higher_than_Ni
APEH,Non bivalent
RNF123,Non bivalent
FAM212A,Non bivalent
RBM6,Non bivalent
RBM5,Non bivalent
SEMA3F,Non bivalent
SLC38A3,Non bivalent
GNAI2,Non bivalent
SEMA3B,Non bivalent
CYB561D2,Non bivalent
HEMK1,Non bivalent
MAPKAPK3,Pr_higher_than_Ni
DOCK3,Ni_higher_than_Pr
MANF,Non bivalent
RBM15B,Non bivalent
RAD54L2,Non bivalent
TEX264,Non bivalent
GRM2,Non bivalent
PARP3,Non bivalent
ABHD14A,Non bivalent
ABHD14A-ACY1,Non bivalent
ACY1,Non bivalent
ALAS1,Non bivalent
PPM1M,Non bivalent
GLYCTK,Non bivalent
DNAH1,Non bivalent
PHF7,Non bivalent
NISCH,Non bivalent
STAB1,Non bivalent
SMIM4,Non bivalent
GNL3,Non bivalent
SPCS1,Non bivalent
PRKCD,Non bivalent
CACNA1D,Always_up
IL17RB,Always_up
CACNA2D3,Always_up
CCDC66,Non bivalent
APPL1,Non bivalent
PDE12,Non bivalent
SLMAP,Non bivalent
FLNB,Non bivalent
ABHD6,Always_up
RPP14,Non bivalent
PXK,Non bivalent
KCTD6,Non bivalent
PTPRG,Non bivalent
C3orf14,Non bivalent
ATXN7,Non bivalent
PSMD6-AS2,Non bivalent
SLC25A26,Non bivalent
KBTBD8,Always_up
ARL6IP5,Non bivalent
MITF,Always_up
GPR27,Always_up
GXYLT2,Always_up
PPP4R2,Non bivalent
EBLN2,Non bivalent
PDZRN3-AS1,Always_up
LINC00960,Always_up
ROBO2,Ni_higher_than_Pr
CADM2,Always_up
CHMP2B,Non bivalent
ZNF654,Non bivalent
C3orf38,Non bivalent
EPHA3,Always_up
ARL13B,Non bivalent
NSUN3,Non bivalent
ARL6,Ni_higher_than_Pr
CRYBG3,Ni_higher_than_Pr
ST3GAL6,Always_up
CMSS1,Non bivalent
TBC1D23,Non bivalent
NIT2,Non bivalent
LNP1,Non bivalent
TMEM45A,Always_up
TFG,Always_up
TRMT10C,Non bivalent
PCNP,Non bivalent
ZBTB11-AS1,Non bivalent
PDCL3P4,Non bivalent
CEP97,Non bivalent
NXPE3,Non bivalent
NFKBIZ,Always_up
ALCAM,Ni_higher_than_Pr
LINC00883,Always_up
BBX,Non bivalent
DZIP3,Non bivalent
LINC01205,Non bivalent
PVRL3,Ni_higher_than_Pr
PLCXD2,Always_up
PHLDB2,Always_up
ABHD10,Non bivalent
C3orf52,Non bivalent
CD200,Non bivalent
SLC35A5,Non bivalent
GTPBP8,Ni_higher_than_Pr
BOC,Ni_higher_than_Pr
ATP6V1A,Non bivalent
GRAMD1C,Non bivalent
ZDHHC23,Always_up
QTRTD1,Non bivalent
GAP43,Always_up
LSAMP-AS1,Non bivalent
ARHGAP31,Always_up
POGLUT1,Non bivalent
TIMMDC1,Non bivalent
ADPRH,Always_up
NDUFB4,Non bivalent
GTF2E1,Non bivalent
STXBP5L,Ni_higher_than_Pr
ARGFX,Non bivalent
EAF2,Always_up
SLC15A2,Non bivalent
FAM162A,Non bivalent
DTX3L,Always_up
PARP14,Always_up
DIRC2,Non bivalent
LOC100129550,Non bivalent
PDIA5,Pr_higher_than_Ni
SEC22A,Non bivalent
KALRN,Non bivalent
UMPS,Non bivalent
FAM86JP,Non bivalent
CHCHD6,Always_up
PLXNA1,Non bivalent
C3orf56,Non bivalent
MCM2,Non bivalent
PODXL2,Always_up
ABTB1,Non bivalent
SEC61A1,Non bivalent
EEFSEC,Non bivalent
GATA2-AS1,Pr_higher_than_Ni
RAB7A,Non bivalent
ACAD9,Non bivalent
COPG1,Non bivalent
HMCES,Non bivalent
H1FX-AS1,Non bivalent
IFT122,Non bivalent
TMCC1-AS1,Ni_higher_than_Pr
TRH,Pr_higher_than_Ni
COL6A5,Always_up
COL6A6,Non bivalent
ATP2C1,Non bivalent
NEK11,Non bivalent
NUDT16P1,Non bivalent
NUDT16,Non bivalent
ACPP,Non bivalent
DNAJC13,Non bivalent
UBA5,Non bivalent
TMEM108,Always_up
CDV3,Non bivalent
SRPRB,Non bivalent
CEP63,Non bivalent
EPHB1,Always_up
PPP2R3A,Non bivalent
PCCB,Non bivalent
SLC35G2,Always_up
NCK1,Non bivalent
IL20RB,Non bivalent
ARMC8,Non bivalent
MRAS,Non bivalent
ESYT3,Always_up
FAIM,Non bivalent
FOXL2NB,Pr_higher_than_Ni
MRPS22,Always_up
CLSTN2,Always_up
SLC25A36,Non bivalent
SPSB4,Always_up
PXYLP1,Non bivalent
ZBTB38,Non bivalent
RASA2,Non bivalent
RNF7,Non bivalent
ATP1B3,Non bivalent
PLS1,Non bivalent
TRPC1,Non bivalent
U2SURP,Non bivalent
CHST2,Non bivalent
C3orf58,Non bivalent
ZIC1,Pr_higher_than_Ni
GYG1,Always_up
HPS3,Non bivalent
RNF13,Non bivalent
LOC646903,Non bivalent
TSC22D2,Non bivalent
EIF2A,Non bivalent
SELT,Non bivalent
ERICH6-AS1,Non bivalent
MED12L,Non bivalent
MBNL1,Non bivalent
P2RY1,Ni_higher_than_Pr
RAP2B,Non bivalent
MME,Always_up
GMPS,Non bivalent
KCNAB1,Always_up
TIPARP,Always_up
RSRC1,Pr_higher_than_Ni
MLF1,Always_up
GFM1,Non bivalent
MFSD1,Pr_higher_than_Ni
IQCJ-SCHIP1,Non bivalent
SCHIP1,Non bivalent
C3orf80,Always_up
SMC4,Non bivalent
PPM1L,Always_up
NMD3,Non bivalent
SERPINI1,Non bivalent
MYNN,Non bivalent
SEC62,Ni_higher_than_Pr
GPR160,Non bivalent
PRKCI,Non bivalent
SKIL,Non bivalent
CLDN11,Ni_higher_than_Pr
FNDC3B,Non bivalent
ECT2,Non bivalent
NLGN1,Ni_higher_than_Pr
LINC00501,Non bivalent
PIK3CA,Ni_higher_than_Pr
ZNF639,Non bivalent
MFN1,Non bivalent
ACTL6A,Non bivalent
NDUFB5,Non bivalent
USP13,Non bivalent
TTC14,Always_up
FXR1,Non bivalent
SOX2-OT,Non bivalent
SOX2,Ni_higher_than_Pr
ATP11B,Always_up
B3GNT5,Always_up
LINC00888,Non bivalent
KLHL24,Non bivalent
YEATS2,Non bivalent
EIF2B5,Non bivalent
DVL3,Non bivalent
AP2M1,Non bivalent
ABCF3,Non bivalent
ECE2,Non bivalent
PSMD2,Non bivalent
EIF4G1,Non bivalent
FAM131A,Non bivalent
POLR2H,Non bivalent
CHRD,Always_up
EPHB3,Always_up
VPS8,Non bivalent
MAP3K13,Always_up
SENP2,Non bivalent
DNAJB11,Non bivalent
KNG1,Non bivalent
EIF4A2,Non bivalent
ST6GAL1,Non bivalent
RTP1,Non bivalent
LPP,Non bivalent
TP63,Non bivalent
IL1RAP,Always_up
CCDC50,Always_up
HRASLS,Always_up
OPA1,Non bivalent
HES1,Ni_higher_than_Pr
LINC00884,Non bivalent
TMEM44-AS1,Non bivalent
FAM43A,Always_up
MUC20,Non bivalent
FBXO45,Non bivalent
NRROS,Always_up
PIGX,Non bivalent
PAK2,Non bivalent
SENP5,Non bivalent
NCBP2-AS2,Non bivalent
MFI2-AS1,Non bivalent
FYTTD1,Non bivalent
LRCH3,Non bivalent
RPL35A,Non bivalent
LMLN,Non bivalent
FAM157A,Non bivalent
CRBN,Non bivalent
SUMF1,Non bivalent
BHLHE40-AS1,Non bivalent
OXTR,Always_up
RAD18,Non bivalent
SRGAP3,Always_up
THUMPD3-AS1,Non bivalent
LHFPL4,Non bivalent
CAMK1,Non bivalent
TADA3,Non bivalent
RPUSD3,Non bivalent
CIDEC,Non bivalent
PRRT3,Non bivalent
EMC3,Non bivalent
CIDECP,Non bivalent
SEC13,Non bivalent
VGLL4,Non bivalent
TAMM41,Non bivalent
TIMP4,Non bivalent
RAF1,Non bivalent
RPL32,Non bivalent
IQSEC1,Non bivalent
NUP210,Non bivalent
WNT7A,Pr_higher_than_Ni
CHCHD4,Non bivalent
XPC,Always_up
GRIP2,Non bivalent
FGD5-AS1,Non bivalent
MRPS25,Non bivalent
RBSN,Non bivalent
SH3BP5,Always_up
METTL6,Non bivalent
COLQ,Non bivalent
HACL1,Non bivalent
ANKRD28,Non bivalent
DPH3,Non bivalent
RFTN1,Always_up
TBC1D5,Non bivalent
SATB1,Non bivalent
SGOL1,Non bivalent
ZNF385D,Always_up
NKIRAS1,Non bivalent
THRB,Always_up
TOP2B,Non bivalent
NGLY1,Always_up
SLC4A7,Non bivalent
EOMES,Always_up
AZI2,Non bivalent
GADL1,Always_up
OSBPL10,Always_up
CMTM6,Non bivalent
DYNC1LI1,Non bivalent
TMPPE,Non bivalent
GLB1,Non bivalent
SUSD5,Always_up
UBP1,Non bivalent
CLASP2,Non bivalent
DCLK3,Non bivalent
TRANK1,Always_up
EPM2AIP1,Non bivalent
LRRFIP2,Non bivalent
PLCD1,Always_up
ACAA1,Non bivalent
SCN5A,Always_up
GORASP1,Non bivalent
CSRNP1,Non bivalent
ULK4,Non bivalent
SEC22C,Non bivalent
HIGD1A,Non bivalent
POMGNT2,Always_up
SNRK-AS1,Non bivalent
ANO10,Non bivalent
ZNF445,Non bivalent
ZNF852,Non bivalent
KIAA1143,Ni_higher_than_Pr
ZDHHC3,Non bivalent
CDCP1,Always_up
TMEM158,Always_up
LIMD1-AS1,Non bivalent
SLC6A20,Always_up
LZTFL1,Always_up
FYCO1,Non bivalent
CCR1,Non bivalent
LRRC2,Non bivalent
ALS2CL,Non bivalent
MYL3,Non bivalent
CCDC12,Non bivalent
SETD2,Non bivalent
KIF9,Non bivalent
SCAP,Non bivalent
ELP6,Non bivalent
CSPG5,Non bivalent
SMARCC1,Non bivalent
MAP4,Non bivalent
CDC25A,Non bivalent
NME6,Non bivalent
PLXNB1,Non bivalent
CCDC51,Non bivalent
SHISA5,Non bivalent
PFKFB4,Non bivalent
COL7A1,Pr_higher_than_Ni
UQCRC1,Non bivalent
SLC26A6,Non bivalent
CELSR3,Non bivalent
NCKIPSD,Non bivalent
IP6K2,Non bivalent
PRKAR2A,Non bivalent
SLC25A20,Non bivalent
ARIH2OS,Non bivalent
DALRD3,Non bivalent
IMPDH2,Non bivalent
QRICH1,Non bivalent
QARS,Non bivalent
USP19,Non bivalent
LAMB2,Non bivalent
CCDC71,Non bivalent
C3orf62,Non bivalent
USP4,Non bivalent
GPX1,Non bivalent
RHOA,Non bivalent
AMT,Non bivalent
NICN1,Non bivalent
MST1,Non bivalent
AMIGO3,Non bivalent
GMPPB,Non bivalent
IP6K1,Non bivalent
UBA7,Non bivalent
TRAIP,Non bivalent
CAMKV,Non bivalent
MST1R,Ni_higher_than_Pr
MON1A,Non bivalent
IFRD2,Non bivalent
NAT6,Non bivalent
HYAL3,Non bivalent
HYAL1,Non bivalent
HYAL2,Non bivalent
TUSC2,Non bivalent
RASSF1,Pr_higher_than_Ni
NPRL2,Non bivalent
TMEM115,Non bivalent
CACNA2D2,Always_up
C3orf18,Non bivalent
CISH,Pr_higher_than_Ni
VPRBP,Non bivalent
RRP9,Non bivalent
PCBP4,Non bivalent
ABHD14B,Non bivalent
RPL29,Non bivalent
DUSP7,Non bivalent
POC1A,Ni_higher_than_Pr
TWF2,Non bivalent
WDR82,Non bivalent
BAP1,Non bivalent
TNNC1,Non bivalent
NT5DC2,Ni_higher_than_Pr
PBRM1,Non bivalent
GLT8D1,Non bivalent
NEK4,Non bivalent
ITIH4,Non bivalent
MUSTN1,Non bivalent
TMEM110,Non bivalent
TMEM110-MUSTN1,Non bivalent
SFMBT1,Always_up
RFT1,Non bivalent
TKT,Non bivalent
DCP1A,Non bivalent
CHDH,Always_up
ACTR8,Non bivalent
SELK,Non bivalent
ESRG,Always_up
WNT5A,Always_up
ERC2,Ni_higher_than_Pr
FAM208A,Non bivalent
ARHGEF3,Non bivalent
IL17RD,Ni_higher_than_Pr
HESX1,Non bivalent
ARF4,Non bivalent
DENND6A,Non bivalent
PDHB,Non bivalent
ACOX2,Non bivalent
FAM107A,Non bivalent
C3orf67,Non bivalent
FHIT,Non bivalent
PTPRG-AS1,Non bivalent
CADPS,Always_up
THOC7,Non bivalent
PSMD6,Non bivalent
PRICKLE2,Ni_higher_than_Pr
ADAMTS9,Always_up
MAGI1,Non bivalent
LRIG1,Non bivalent
SUCLG2,Non bivalent
FAM19A4,Always_up
EOGT,Non bivalent
TMF1,Non bivalent
UBA3,Non bivalent
FRMD4B,Always_up
FOXP1,Non bivalent
EIF4E3,Always_up
PROK2,Always_up
RYBP,Non bivalent
SHQ1,Always_up
PDZRN3,Always_up
FAM86DP,Non bivalent
ZNF717,Non bivalent
ROBO1,Non bivalent
GBE1,Non bivalent
VGLL3,Ni_higher_than_Pr
CGGBP1,Non bivalent
PROS1,Always_up
DHFRL1,Non bivalent
MINA,Non bivalent
CLDND1,Non bivalent
CPOX,Non bivalent
DCBLD2,Always_up
FILIP1L,Non bivalent
TOMM70A,Non bivalent
ABI3BP,Non bivalent
SENP7,Non bivalent
ZBTB11,Non bivalent
RPL24,Non bivalent
CBLB,Non bivalent
CD47,Always_up
IFT57,Always_up
KIAA1524,Non bivalent
DPPA2,Non bivalent
DPPA4,Non bivalent
BTLA,Non bivalent
ATG3,Non bivalent
LINC01279,Non bivalent
CCDC80,Ni_higher_than_Pr
C3orf17,Non bivalent
CFAP44,Non bivalent
SPICE1,Non bivalent
KIAA2018,Non bivalent
NAA50,Non bivalent
ZBTB20,Non bivalent
LSAMP,Always_up
IGSF11,Always_up
B4GALT4,Non bivalent
TMEM39A,Non bivalent
POPDC2,Non bivalent
COX17,Non bivalent
GSK3B,Non bivalent
GPR156,Non bivalent
LRRC58,Ni_higher_than_Pr
FSTL1,Non bivalent
RABL3,Non bivalent
POLQ,Non bivalent
HCLS1,Non bivalent
GOLGB1,Non bivalent
IQCB1,Always_up
CCDC58,Non bivalent
WDR5B,Ni_higher_than_Pr
KPNA1,Non bivalent
PARP9,Non bivalent
HSPBAP1,Non bivalent
SEMA5B,Always_up
ADCY5,Always_up
HACD2,Non bivalent
MYLK,Ni_higher_than_Pr
CCDC14,Non bivalent
ITGB5,Non bivalent
HEG1,Pr_higher_than_Ni
SLC12A8,Non bivalent
ZNF148,Non bivalent
SNX4,Non bivalent
OSBPL11,Non bivalent
ALG1L,Non bivalent
SLC41A3,Non bivalent
KLF15,Always_up
ZXDC,Non bivalent
TXNRD3,Always_up
TPRA1,Non bivalent
MGLL,Pr_higher_than_Ni
RUVBL1,Non bivalent
GATA2,Always_up
RPN1,Non bivalent
KIAA1257,Non bivalent
RAB43,Non bivalent
ISY1,Non bivalent
ISY1-RAB43,Non bivalent
CNBP,Non bivalent
H1FX,Non bivalent
RPL32P3,Non bivalent
MBD4,Non bivalent
PLXND1,Non bivalent
TMCC1,Non bivalent
FAM86HP,Non bivalent
PIK3R4,Non bivalent
ASTE1,Non bivalent
MRPL3,Ni_higher_than_Pr
ACAD11,Non bivalent
NPHP3,Non bivalent
NPHP3-ACAD11,Non bivalent
TOPBP1,Non bivalent
RAB6B,Pr_higher_than_Ni
SLCO2A1,Always_up
RYK,Non bivalent
AMOTL2,Always_up
ANAPC13,Non bivalent
MSL2,Non bivalent
STAG1,Non bivalent
NCK1-AS1,Non bivalent
DZIP1L,Non bivalent
DBR1,Non bivalent
CEP70,Non bivalent
PIK3CB,Non bivalent
FOXL2,Pr_higher_than_Ni
PRR23A,Always_up
PRR23B,Non bivalent
PRR23C,Ni_higher_than_Pr
COPB2,Non bivalent
RBP1,Non bivalent
TFDP2,Always_up
GK5,Non bivalent
XRN1,Non bivalent
ATR,Non bivalent
PCOLCE2,Always_up
SLC9A9,Non bivalent
PLOD2,Non bivalent
PLSCR4,Non bivalent
PLSCR1,Non bivalent
ZIC4,Pr_higher_than_Ni
HLTF,Non bivalent
CP,Non bivalent
TM4SF1,Non bivalent
WWTR1,Non bivalent
COMMD2,Non bivalent
PFN2,Non bivalent
TMEM183B,Non bivalent
SERP1,Non bivalent
SIAH2,Ni_higher_than_Pr
IGSF10,Ni_higher_than_Pr
MBNL1-AS1,Always_up
DHX36,Non bivalent
PLCH1,Non bivalent
C3orf33,Non bivalent
SLC33A1,Non bivalent
SSR3,Ni_higher_than_Pr
PA2G4P4,Non bivalent
CCNL1,Non bivalent
SHOX2,Pr_higher_than_Ni
LXN,Non bivalent
RARRES1,Non bivalent
IFT80,Non bivalent
TRIM59,Non bivalent
KPNA4,Non bivalent
B3GALNT1,Always_up
SLITRK3,Always_up
PDCD10,Non bivalent
GOLIM4,Ni_higher_than_Pr
MECOM,Ni_higher_than_Pr
ACTRT3,Non bivalent
LRRC34,Non bivalent
PHC3,Non bivalent
RPL22L1,Non bivalent
EIF5A2,Always_up
TNIK,Always_up
PLD1,Pr_higher_than_Ni
NCEH1,Non bivalent
TBL1XR1,Non bivalent
KCNMB2-AS1,Non bivalent
ZMAT3,Non bivalent
KCNMB3,Non bivalent
GNB4,Always_up
MRPL47,Non bivalent
DNAJC19,Non bivalent
DCUN1D1,Non bivalent
MCCC1,Non bivalent
LAMP3,Always_up
MCF2L2,Always_up
MAP6D1,Non bivalent
PARL,Non bivalent
ABCC5,Non bivalent
ALG3,Non bivalent
CAMK2N2,Pr_higher_than_Ni
CLCN2,Non bivalent
MAGEF1,Non bivalent
C3orf70,Always_up
EHHADH,Non bivalent
TMEM41A,Non bivalent
LIPH,Non bivalent
IGF2BP2,Non bivalent
TRA2B,Non bivalent
ETV5,Ni_higher_than_Pr
TBCCD1,Non bivalent
RFC4,Non bivalent
LOC102724699,Non bivalent
RPL39L,Non bivalent
MASP1,Always_up
SST,Non bivalent
BCL6,Non bivalent
LPP-AS2,Non bivalent
P3H2,Ni_higher_than_Pr
FGF12,Ni_higher_than_Pr
MB21D2,Non bivalent
GP5,Always_up
ATP13A3,Non bivalent
TMEM44,Non bivalent
LSG1,Non bivalent
XXYLT1,Non bivalent
ACAP2,Non bivalent
PPP1R2,Non bivalent
APOD,Non bivalent
TNK2,Non bivalent
SDHAP1,Non bivalent
TFRC,Non bivalent
PCYT1A,Non bivalent
TCTEX1D2,Non bivalent
UBXN7,Non bivalent
RNF168,Non bivalent
WDR53,Non bivalent
CEP19,Non bivalent
NCBP2,Non bivalent
MFI2,Non bivalent
DLG1,Non bivalent
BDH1,Always_up
LOC220729,Non bivalent
KIAA0226,Non bivalent
IQCG,Non bivalent
ZNF595,Always_up
ZNF718,Non bivalent
ZNF876P,Non bivalent
ZNF141,Non bivalent
PIGG,Non bivalent
PDE6B,Non bivalent
MYL5,Non bivalent
PCGF3,Non bivalent
TMEM175,Non bivalent
IDUA,Non bivalent
FGFRL1,Non bivalent
CTBP1-AS2,Non bivalent
MAEA,Non bivalent
UVSSA,Non bivalent
CRIPAK,Non bivalent
TACC3,Non bivalent
FGFR3,Non bivalent
WHSC1,Ni_higher_than_Pr
C4orf48,Always_up
NAT8L,Non bivalent
RNF4,Non bivalent
FAM193A,Non bivalent
SH3BP2,Non bivalent
ADD1,Non bivalent
NOP14-AS1,Non bivalent
HTT,Non bivalent
RGS12,Non bivalent
DOK7,Non bivalent
ADRA2C,Non bivalent
ZBTB49,Non bivalent
NSG1,Always_up
STX18-AS1,Non bivalent
LOC101928279,Ni_higher_than_Pr
MSX1,Always_up
STK32B,Always_up
EVC,Non bivalent
LOC285484,Always_up
WFS1,Non bivalent
MAN2B2,Non bivalent
MRFAP1,Non bivalent
LOC93622,Non bivalent
S100P,Non bivalent
BLOC1S4,Non bivalent
KIAA0232,Non bivalent
TBC1D14,Non bivalent
TADA2B,Always_up
SH3TC1,Non bivalent
HTRA3,Always_up
TRMT44,Non bivalent
GPR78,Non bivalent
CPZ,Non bivalent
CPEB2,Non bivalent
CC2D2A,Non bivalent
FAM200B,Non bivalent
BST1,Non bivalent
CD38,Always_up
