name,group
ERMAP,Non bivalent
ZNF691,Non bivalent
SLC2A1-AS1,Non bivalent
TMEM125,Non bivalent
CDC20,Non bivalent
SZT2,Non bivalent
PTPRF,Non bivalent
KDM4A,Non bivalent
ST3GAL3,Non bivalent
ARTN,Non bivalent
IPO13,Non bivalent
DPH2,Non bivalent
ATP6V0B,Non bivalent
B4GALT2,Non bivalent
CCDC24,Non bivalent
KLF17,Non bivalent
DMAP1,Non bivalent
RNF220,Always_up
KIF2C,Non bivalent
RPS8,Non bivalent
PLK3,Non bivalent
UROD,Non bivalent
HPDL,Non bivalent
TOE1,Non bivalent
MMACHC,Non bivalent
AKR1A1,Non bivalent
NASP,Non bivalent
TMEM69,Non bivalent
MAST2,Non bivalent
TSPAN1,Non bivalent
LURAP1,Non bivalent
RAD54L,Non bivalent
UQCRH,Non bivalent
NSUN4,Non bivalent
FAAH,Always_up
FAAHP1,Non bivalent
DMBX1,Non bivalent
CYP4X1,Always_up
CMPK1,Non bivalent
FOXD2,Always_up
CDKN2C,Pr_higher_than_Ni
RNF11,Non bivalent
OSBPL9,Non bivalent
BTF3L4,Non bivalent
ZFYVE9,Non bivalent
PRPF38A,Non bivalent
GPX7,Always_up
ZYG11B,Non bivalent
ZYG11A,Always_up
SCP2,Always_up
PODN,Always_up
CPT2,Non bivalent
DMRTB1,Always_up
LRRC42,Non bivalent
TCEANC2,Non bivalent
MRPL37,Non bivalent
ACOT11,Non bivalent
TTC4,Non bivalent
PCSK9,Always_up
LOC100507634,Non bivalent
PRKAA2,Ni_higher_than_Pr
FGGY,Non bivalent
HOOK1,Always_up
NFIA,Pr_higher_than_Ni
INADL,Non bivalent
L1TD1,Non bivalent
USP1,Non bivalent
ATG4C,Non bivalent
FOXD3,Always_up
ALG6,Non bivalent
EFCAB7,Non bivalent
PGM1,Ni_higher_than_Pr
ROR1,Ni_higher_than_Pr
CACHD1,Always_up
RAVER2,Ni_higher_than_Pr
AK4,Non bivalent
DNAJC6,Always_up
LEPROT,Non bivalent
LEPR,Non bivalent
PDE4B,Non bivalent
MIER1,Non bivalent
GADD45A,Non bivalent
SRSF11,Non bivalent
HHLA3,Non bivalent
CTH,Non bivalent
FPGT,Non bivalent
TYW3,Non bivalent
LHX8,Always_up
ACADM,Non bivalent
RABGGTB,Non bivalent
ST6GALNAC3,Always_up
ST6GALNAC5,Ni_higher_than_Pr
AK5,Always_up
FAM73A,Non bivalent
NEXN,Non bivalent
DNAJB4,Non bivalent
GIPC2,Pr_higher_than_Ni
PTGFR,Always_up
ADGRL2,Non bivalent
PRKACB,Non bivalent
RPF1,Always_up
WDR63,Non bivalent
CYR61,Non bivalent
SH3GLB1,Non bivalent
HS2ST1,Non bivalent
LINC01140,Ni_higher_than_Pr
LMO4,Non bivalent
PKN2,Non bivalent
LRRC8B,Ni_higher_than_Pr
LRRC8C,Always_up
LRRC8D,Non bivalent
ZNF326,Non bivalent
CDC7,Non bivalent
BRDT,Non bivalent
EPHX4,Always_up
BTBD8,Non bivalent
KIAA1107,Non bivalent
RPAP2,Non bivalent
RPL5,Non bivalent
MTF2,Non bivalent
CCDC18,Non bivalent
DR1,Non bivalent
FNBP1L,Non bivalent
ABCD3,Non bivalent
SLC44A3,Always_up
LOC729970,Non bivalent
TMEM56,Non bivalent
RWDD3,Non bivalent
PTBP2,Non bivalent
SNX7,Non bivalent
LPPR4,Always_up
AGL,Non bivalent
SLC35A3,Non bivalent
HIAT1,Non bivalent
TRMT13,Non bivalent
RTCA,Non bivalent
CDC14A,Non bivalent
SLC30A7,Non bivalent
LOC102606465,Non bivalent
S1PR1,Always_up
RNPC3,Non bivalent
AMY2B,Non bivalent
PRMT6,Non bivalent
NTNG1,Ni_higher_than_Pr
NBPF6,Non bivalent
FAM102B,Non bivalent
PRPF38B,Non bivalent
STXBP3,Always_up
GPSM2,Non bivalent
TMEM167B,Non bivalent
KIAA1324,Always_up
SARS,Non bivalent
CELSR2,Non bivalent
SYPL2,Always_up
ATXN7L2,Non bivalent
CYB561D1,Non bivalent
GNAI3,Non bivalent
AMPD2,Non bivalent
GSTM4,Non bivalent
GSTM2,Non bivalent
GSTM1,Non bivalent
CSF1,Always_up
AHCYL1,Non bivalent
STRIP1,Non bivalent
SLC6A17,Always_up
KCNC4,Always_up
RBM15,Non bivalent
PROK1,Non bivalent
CD53,Non bivalent
CEPT1,Non bivalent
CHI3L2,Non bivalent
PIFO,Non bivalent
ATP5F1,Non bivalent
C1orf162,Non bivalent
RAP1A,Non bivalent
FAM212B-AS1,Ni_higher_than_Pr
DDX20,Ni_higher_than_Pr
CTTNBP2NL,Non bivalent
WNT2B,Always_up
CAPZA1,Non bivalent
MOV10,Non bivalent
SLC16A1-AS1,Non bivalent
LRIG2,Non bivalent
MAGI3,Non bivalent
DCLRE1B,Non bivalent
HIPK1,Non bivalent
OLFML3,Non bivalent
VANGL1,Always_up
SLC22A15,Non bivalent
ATP1A1,Non bivalent
PTGFRN,Non bivalent
CD101,Non bivalent
TTF2,Non bivalent
MAN1A2,Non bivalent
FAM46C,Always_up
WDR3,Non bivalent
LOC101929147,Non bivalent
HSD3B2,Non bivalent
HSD3B1,Non bivalent
PHGDH,Ni_higher_than_Pr
NBPF8,Non bivalent
LINC00623,Always_up
SRGAP2C,Non bivalent
EMBP1,Ni_higher_than_Pr
SRGAP2D,Non bivalent
FAM72D,Non bivalent
GPR89A,Non bivalent
POLR3C,Non bivalent
NUDT17,Non bivalent
POLR3GL,Pr_higher_than_Ni
NUDT4P2,Always_up
NUDT4P1,Always_up
NBPF12,Non bivalent
PDIA3P1,Non bivalent
CHD1L,Non bivalent
BCL9,Non bivalent
GPR89B,Non bivalent
LOC100132057,Non bivalent
PDE4DIP,Always_up
LINC00869,Always_up
FAM231D,Always_up
HIST2H4A,Non bivalent
HIST2H4B,Non bivalent
HIST2H2AC,Non bivalent
BOLA1,Non bivalent
VPS45,Non bivalent
PLEKHO1,Always_up
CA14,Non bivalent
CIART,Non bivalent
MRPS21,Non bivalent
PRPF3,Non bivalent
RPRD2,Non bivalent
TARS2,Non bivalent
ECM1,Non bivalent
ADAMTSL4,Non bivalent
SETDB1,Non bivalent
PRUNE,Non bivalent
BNIPL,Non bivalent
C1orf56,Non bivalent
MLLT11,Non bivalent
GABPB2,Non bivalent
SCNM1,Non bivalent
PIP5K1A,Non bivalent
PSMD4,Non bivalent
ZNF687,Non bivalent
GBAT2,Non bivalent
PSMB4,Non bivalent
CGN,Non bivalent
TUFT1,Non bivalent
SNX27,Non bivalent
OAZ3,Non bivalent
PRR9,Non bivalent
CHTOP,Non bivalent
SNAPIN,Non bivalent
NPR1,Always_up
INTS3,Non bivalent
CREB3L4,Non bivalent
RPS27,Non bivalent
UBAP2L,Non bivalent
HAX1,Non bivalent
ATP8B2,Non bivalent
IL6R,Pr_higher_than_Ni
TDRD10,Always_up
CKS1B,Non bivalent
FLAD1,Non bivalent
ZBTB7B,Non bivalent
ADAM15,Non bivalent
EFNA4,Non bivalent
EFNA3,Non bivalent
EFNA1,Always_up
SLC50A1,Non bivalent
TRIM46,Non bivalent
MTX1,Non bivalent
HCN3,Non bivalent
FDPS,Ni_higher_than_Pr
RUSC1,Non bivalent
POU5F1P4,Non bivalent
ASH1L-AS1,Non bivalent
MSTO1,Non bivalent
DAP3,Non bivalent
MSTO2P,Non bivalent
SYT11,Non bivalent
LAMTOR2,Non bivalent
RAB25,Non bivalent
LMNA,Ni_higher_than_Pr
SEMA4A,Non bivalent
SLC25A44,Non bivalent
PMF1,Non bivalent
PMF1-BGLAP,Non bivalent
TMEM79,Non bivalent
TSACC,Non bivalent
