gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
ABCD1	ABCD1	404	165	326	61	63	194	150	180	236	71	212	354	209	129
ABCD2	ABCD2	66	107	145	12	11	72	47	65	30	64	216	139	171	28
ABCD3	ABCD3	333	261	286	136	91	269	235	300	329	279	341	313	278	308
ABCD4	ABCD4	174.999	75	238.001	73	78	150.999	120	118.999	162	47	264.999	258.999	257	122
ABCE1	ABCE1	1137	1239	905	794	747	1522	1531	1485	1028	1534	1970	1118	1535	1720
ABCF1	ABCF1	1126	852	852	1012	978	1678	817	1373	1250	990	1432	999	1391	1402
ABCF2	ABCF2	179	90	285	69	127	101	72	149	153	131	125	219	197	141
ABCF3	ABCF3	473	392	289	443	328	556	727	703	921	280	505	419	516	866
ABCG1	ABCG1	223	402	37	435	497	556	588	708	477	406	467	150	335	786
ABCG2	ABCG2	3	0	10	0	14	11	10	5	12	20	5	9	31	0
ABCG4	ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD1	ABHD1	2.01	0	15.163	0	7	9.003	18	12.083	0	8.001	18	12.935	8	0
ABHD10	ABHD10	250	241	253	169	191	310	303	208.001	286	282	539.001	238	340	272
ABHD11	ABHD11	112	74	109.001	22	53	35	38	68	37	19	117	84	82	28
ABHD12	ABHD12	570	279	408	264	283	325	294	273	238	149	306	447	278	395
ABHD12B	ABHD12B	1	0	0	0	0	3	0	0	0	0	0	11	0	0
ABHD13	ABHD13	904	1241	1042	958	357	2317	1120	1283	850	1903	1958	1013	1318	977
ABHD14A	ABHD14A	162	80.559	299	57	51	98	108	39	41	90	125	119	199	54
ABHD14A-ACY1	ABHD14A-ACY1	0	12.832	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	ABHD14B	1196	1214	1924	677	796	954	1109	889	902	818	1496	1071	1380	932
ABHD15	ABHD15	658	380	478	232	173	338	305	301	237	242	327	646	347	299
ABHD16A	ABHD16A	521	179	496	96	148	221	131	235	204	129	237	499	259	171
ABHD16B	ABHD16B	100	30	35	16	0	23	9	8	16	15	39	73	24	9
