gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
A1BG	NM_130786	3.00	2.00
A1BG-AS1	NR_015380	7.00	2.00
A1CF	NM_001198818,NM_001198819,NM_001198820,NM_014576,NM_138932,NM_138933	0.00	0.00
A2M	NM_000014	1.00	0.00
A2M-AS1	NR_026971	0.00	0.00
A2ML1	NM_001282424,NM_144670	10.00	7.00
A2MP1	NR_040112	0.00	0.00
A3GALT2	NM_001080438	0.00	0.00
A4GALT	NM_017436	317.00	1072.00
A4GNT	NM_016161	0.00	0.00
AA06	NR_037584	0.00	0.00
AAAS	NM_001173466,NM_015665	275.00	379.00
AACS	NM_023928	120.00	155.00
AACSP1	NR_024035	0.00	0.00
AADAC	NM_001086	1.00	0.00
AADACL2	NM_207365	0.00	0.00
AADACL2-AS1	NR_110202,NR_110203	0.00	0.00
AADACL3	NM_001103170,NR_111984	0.00	1.00
AADACL4	NM_001013630	0.00	0.00
AADACP1	NR_026915	0.00	0.00
AADAT	NM_001286682,NM_001286683,NM_016228,NM_182662	20.00	44.00
AAED1	NM_153698	15.00	8.00
AAGAB	NM_001271885,NM_001271886,NM_024666	90.00	161.00
AAK1	NM_014911	147.00	109.00
AAMDC	NM_024684	1.00	6.00
AAMP	NM_001087,NM_001302545	245.00	369.00
AANAT	NM_001088,NM_001166579,NR_110548	0.00	0.00
AAR2	NM_001271874,NM_015511	151.00	233.00
AARD	NM_001025357	4.00	0.00
AARS	NM_001605	342.00	658.00
AARS2	NM_020745	140.00	411.00
AARSD1	NM_001261434	44.99	64.26
AASDH	NM_001286668,NM_001286669,NM_001286670,NM_001286671,NM_001286672,NM_181806	21.00	52.00
AASDHPPT	NM_015423	84.00	157.00
AASS	NM_005763	60.00	255.00
AATBC	NR_026961	0.00	0.00
AATF	NM_012138	147.00	250.00
AATK	NM_001080395,NM_004920	1.00	0.00
AATK-AS1	NR_027255	0.00	0.00
ABALON	NR_131907	0.00	2.00
ABAT	NM_000663,NM_001127448,NM_020686	23.00	3.00
ABCA1	NM_005502	115.00	354.00
ABCA10	NM_080282	0.00	0.00
ABCA11P	NR_002451	7.00	9.00
ABCA12	NM_015657,NM_173076,NR_103740	1.00	1.00
ABCA13	NM_152701	9.00	21.00
ABCA17P	NR_003574	0.00	1.00
ABCA2	NM_001606,NM_212533	26.00	74.00
ABCA3	NM_001089	9.00	20.00
ABCA4	NM_000350	28.00	2.00
ABCA5	NM_018672,NM_172232	6.00	3.00
ABCA6	NM_080284	0.00	0.00
ABCA7	NM_019112	29.00	72.00
ABCA8	NM_001288985,NM_001288986,NM_007168	0.00	0.00
ABCA9	NM_080283	0.00	0.00
ABCA9-AS1	NR_126414	0.00	0.00
ABCB1	NM_000927	1.00	0.00
ABCB10	NM_012089	61.00	132.00
ABCB11	NM_003742	0.00	0.00
ABCB4	NM_000443,NM_018849,NM_018850	0.00	0.00
ABCB5	NM_001163941,NM_001163942,NM_001163993,NM_178559	0.00	0.00
ABCB6	NM_005689	38.00	98.00
ABCB7	NM_001271696,NM_001271697,NM_001271698,NM_001271699,NM_004299	51.00	75.00
ABCB8	NM_001282291,NM_001282292,NM_001282293,NM_007188	213.00	505.00
ABCB9	NM_001243013,NM_001243014,NM_019624,NM_019625,NM_203444	18.00	20.00
ABCC1	NM_004996_1	111.00	177.00
ABCC10	NM_001198934,NM_033450	64.00	130.00
ABCC11	NM_032583,NM_033151,NM_145186	0.00	0.00
ABCC12	NM_033226	0.00	0.00
ABCC13	NR_003087,NR_003088	4.00	28.00
ABCC2	NM_000392	9.00	13.00
ABCC3	NM_001144070,NM_003786	0.00	0.00
ABCC4	NM_001105515,NM_001301829,NM_001301830,NM_005845	48.00	19.00
ABCC5	NM_001023587,NM_005688	135.00	160.00
ABCC5-AS1	NR_046570	0.00	0.00
ABCC6	NM_001079528,NM_001171	1.00	0.00
ABCC6P1	NR_003569	0.00	1.00
ABCC6P2	NR_023387_1	0.00	0.00
ABCC8	NM_000352,NM_001287174	0.00	0.00
ABCC9	NM_005691,NM_020297	8.00	0.00
ABCD1	NM_000033	50.00	99.00
ABCD2	NM_005164	0.00	0.00
ABCD3	NM_001122674,NM_002858	72.00	119.00
ABCD4	NM_005050,NR_003256	63.00	104.00
ABCE1	NM_001040876,NM_002940	312.00	528.00
ABCF1	NM_001025091_3,NM_001090_4	388.00	580.00
ABCF2	NM_005692,NM_007189	288.00	457.00
ABCF3	NM_018358	119.00	217.00
ABCG1	NM_004915,NM_016818,NM_207174,NM_207627,NM_207628,NM_207629	0.00	1.00
ABCG2	NM_001257386,NM_004827	168.00	52.00
ABCG4	NM_001142505,NM_022169	3.00	0.00
ABCG5	NM_022436	0.00	0.00
ABCG8	NM_022437	0.00	1.00
ABHD1	NM_032604	0.00	0.00
ABHD10	NM_001272069,NM_018394,NR_073570,NR_073571	52.00	64.00
ABHD11	NM_001145364,NM_001301058,NM_148912,NM_148913,NR_026910,NR_026912	37.00	35.00
ABHD11-AS1	NR_026690	0.00	0.00
ABHD12	NM_001042472,NM_015600	83.00	128.00
ABHD12B	NM_001206673,NM_181814	57.00	273.00
ABHD13	NM_032859	42.00	31.00
ABHD14A	NM_015407	23.20	9.00
ABHD14A-ACY1	NR_037192	7.71	0.00
ABHD14B	NM_001146314,NM_001254753,NM_032750	42.00	53.00
ABHD15	NM_198147	15.00	43.00
ABHD16A	NM_001177515_2,NM_021160_3,NR_033488,NR_033489	76.00	85.00
ABHD16B	NM_080622	0.00	0.00
ABHD17A	NM_001130111,NM_031213	223.00	296.00
ABHD17B	NM_001025780,NM_016014	47.00	87.00
ABHD17C	NM_021214	79.00	59.00
ABHD2	NM_007011,NM_152924	150.00	126.00
ABHD3	NM_001308256,NM_001308257,NM_138340	14.00	26.00
ABHD4	NM_022060	72.00	66.00
ABHD5	NM_016006	44.00	74.00
ABHD6	NM_020676	37.00	44.00
ABHD8	NM_024527	2.00	2.00
ABI1	NM_001012750,NM_001012751,NM_001012752,NM_001178116,NM_001178119,NM_001178120,NM_001178121,NM_001178122,NM_001178123,NM_001178124,NM_001178125,NM_005470	113.00	186.00
ABI2	NM_001282925,NM_001282926,NM_001282927,NM_001282932,NM_005759	84.00	126.00
ABI3	NM_001135186,NM_016428	3.00	4.00
ABI3BP	NM_015429	1.00	1.00
ABL1	NM_005157,NM_007313	367.00	491.00
ABL2	NM_001136000,NM_001136001,NM_001168236,NM_001168237,NM_001168238,NM_001168239,NM_005158,NM_007314	79.00	129.00
ABLIM1	NM_001003407,NM_001003408,NM_002313,NM_006720	80.00	172.00
ABLIM2	NM_001130083,NM_001130084,NM_001130085,NM_001130086,NM_001130087,NM_001130088,NM_001286688,NM_032432	0.00	4.00
ABLIM3	NM_001301015,NM_001301018,NM_001301027,NM_001301028,NM_014945	2.00	3.00
ABO	NM_020469	8.00	2.00
ABR	NM_001092_2,NM_001159746_2,NM_001256847,NM_001282149_1,NM_021962_2	410.00	617.00
ABRA	NM_139166	0.00	0.00
ABRACL	NM_021243	39.00	88.00
ABT1	NM_013375	154.00	277.00
ABTB1	NM_032548,NM_172027,NR_033429	4.00	3.00
ABTB2	NM_145804	196.00	136.00
ACAA1	NM_001130410,NM_001607,NR_024024	74.00	164.00
ACAA2	NM_006111	123.00	462.00
ACACA	NM_198834,NM_198836_1,NM_198837,NM_198838,NM_198839	406.00	727.00
ACACB	NM_001093	13.00	30.00
ACAD10	NM_001136538,NM_025247	55.00	65.00
ACAD11	NM_032169	30.00	35.09
ACAD8	NM_014384	31.00	59.00
ACAD9	NM_014049,NR_033426	93.00	104.00
ACADL	NM_001608	0.00	0.00
ACADM	NM_000016,NM_001127328,NM_001286042,NM_001286043,NM_001286044	42.00	90.00
ACADS	NM_000017,NM_001302554	15.00	36.00
ACADSB	NM_001609	31.00	21.00
ACADVL	NM_000018,NM_001033859,NM_001270447,NM_001270448	178.00	126.00
ACAN	NM_001135,NM_013227	68.00	34.00
ACAP1	NM_014716	0.00	0.00
ACAP2	NM_012287	71.00	161.00
ACAP3	NM_030649	59.00	88.00
ACAT1	NM_000019	38.00	60.00
ACAT2	NM_001303253,NM_005891	201.00	342.00
ACBD3	NM_022735	140.00	201.00
ACBD4	NM_001135704,NM_001135705,NM_001135706,NM_001135707,NM_024722	2.00	1.00
ACBD5	NM_001042473,NM_001271512,NM_001301251,NM_001301252,NM_001301253,NM_001301254,NM_145698	25.00	33.00
ACBD6	NM_032360	51.00	81.00
ACBD7	NM_001039844	7.00	27.00
ACCS	NM_001127219,NM_032592	1.00	0.00
ACCSL	NM_001031854	0.00	0.00
ACD	NM_001082486,NM_001082487,NM_022914	54.00	85.00
ACE	NM_000789,NM_001178057,NM_152830	10.00	61.00
ACE2	NM_021804	2.00	3.00
ACER1	NM_133492	0.00	0.00
ACER2	NM_001010887	31.00	88.00
ACER3	NM_001300953,NM_001300954,NM_001300955,NM_018367	75.00	21.00
ACHE	NM_000665,NM_001282449,NM_001302621,NM_001302622,NM_015831	62.00	45.00
ACIN1	NM_001164814,NM_001164815,NM_001164816,NM_001164817,NM_014977	525.00	882.00
ACKR1	NM_001122951,NM_002036	0.00	0.00
ACKR2	NM_001296	27.00	5.00
ACKR3	NM_020311	274.00	117.00
ACKR4	NM_016557,NM_178445	0.00	0.00
ACLY	NM_001096,NM_001303274,NM_001303275,NM_198830	798.00	1139.00
ACMSD	NM_001307983,NM_138326	0.00	0.00
ACO1	NM_001278352,NM_002197	137.00	116.00
ACO2	NM_001098	522.00	1138.00
ACOT1	NM_001037161	1.40	8.12
ACOT11	NM_015547,NM_147161	10.00	27.00
ACOT12	NM_130767	0.00	0.00
ACOT13	NM_001160094,NM_018473	19.00	68.00
ACOT2	NM_006821,NR_046028	18.60	20.88
ACOT4	NM_152331	15.00	39.00
ACOT6	NM_001037162	0.00	0.00
ACOT7	NM_007274,NM_181864,NM_181865,NM_181866	81.00	261.00
ACOT8	NM_005469	24.00	60.00
ACOT9	NM_001033583,NM_001037171	39.00	43.00
ACOX1	NM_001185039,NM_004035,NM_007292	93.00	186.00
ACOX2	NM_003500	0.00	2.00
ACOX3	NM_001101667,NM_003501	28.00	21.00
ACOXL	NM_001142807	6.00	33.00
ACP1	NM_001040649,NM_004300,NM_007099,NR_024080	204.00	246.00
ACP2	NM_001302489,NM_001302490,NM_001302491,NM_001302492,NM_001610	89.00	78.00
ACP5	NM_001111034,NM_001111035,NM_001111036,NM_001611	28.00	82.00
ACP6	NM_016361	9.00	21.00
ACPP	NM_001099,NM_001134194,NM_001292037	19.00	6.00
ACPT	NM_033068	0.00	0.00
ACR	NM_001097	0.00	0.00
ACRBP	NM_032489	2.00	2.00
ACRC	NM_052957	2.00	6.00
ACRV1	NM_001612,NM_020069,NM_020107,NM_020108	0.00	0.00
ACSBG1	NM_001199377,NM_015162	0.00	4.00
ACSBG2	NM_001289177,NM_001289178,NM_001289179,NM_001289180,NM_030924	3.00	2.00
ACSF2	NM_001288968,NM_001288969,NM_001288970,NM_001288971,NM_001288972,NM_025149,NR_110232	18.00	33.00
ACSF3	NM_001127214,NM_001243279,NM_001284316,NM_174917,NR_045667,NR_104293	49.00	67.00
ACSL1	NM_001286708,NM_001286710,NM_001286711,NM_001286712,NM_001995	46.00	12.00
ACSL3	NM_004457,NM_203372	391.00	1254.00
ACSL4	NM_004458,NM_022977	86.00	137.00
ACSL5	NM_016234,NM_203379,NM_203380	0.00	0.00
ACSL6	NM_001009185,NM_001205247,NM_001205248,NM_001205250,NM_001205251,NM_015256	1.00	0.00
ACSM1	NM_052956	0.00	0.00
ACSM2A	NM_001308169,NM_001308172,NM_001308954	0.00	0.00
ACSM2B	NM_001105069,NM_182617	0.00	0.00
ACSM3	NM_005622,NM_202000	1.00	1.00
ACSM4	NM_001080454	0.00	0.00
ACSM5	NM_017888	0.00	0.00
ACSM6	NM_207321	0.00	0.00
ACSS1	NM_001252675,NM_001252676,NM_001252677,NM_032501	8.00	0.00
ACSS2	NM_001076552,NM_001242393,NM_018677	103.00	160.00
ACSS3	NM_024560	14.00	26.00
ACTA1	NM_001100	38.00	164.00
ACTA2	NM_001141945,NM_001613	238.00	89.00
ACTA2-AS1	NR_125373	0.00	0.00
ACTB	NM_001101	14901.00	18540.00
ACTBL2	NM_001017992	0.00	1.00
ACTC1	NM_005159	360.00	584.00
ACTG1	NM_001199954,NM_001614,NR_037688	11593.00	14103.00
ACTG1P17	NR_036446	0.00	0.00
ACTG1P20	NR_033926	3.00	4.00
ACTG1P4	NR_024438	0.00	0.00
ACTG2	NM_001199893,NM_001615	34.00	120.00
ACTL10	NM_001024675	4.00	0.00
ACTL6A	NM_004301,NM_177989,NM_178042	85.00	166.00
ACTL6B	NM_016188	0.00	1.00
ACTL7A	NM_006687	0.00	0.00
ACTL7B	NM_006686	0.00	0.00
ACTL8	NM_030812	1.00	3.00
ACTL9	NM_178525	0.00	0.00
ACTN1	NM_001102,NM_001130004,NM_001130005	1025.00	1296.00
ACTN1-AS1	NR_073422	0.00	0.00
ACTN2	NM_001103,NM_001278343,NM_001278344	5.00	2.00
ACTN3	NM_001104,NM_001258371,NR_047663	0.00	1.00
ACTN4	NM_004924	1818.00	2568.00
ACTR10	NM_018477	72.00	101.00
ACTR1A	NM_005736	385.00	527.00
ACTR1B	NM_005735	101.00	99.00
ACTR2	NM_001005386,NM_005722	420.00	589.00
ACTR3	NM_001277140,NM_005721,NR_102318	446.00	591.00
ACTR3B	NM_001040135,NM_020445,NR_073000,NR_073001	26.00	26.00
ACTR3BP2	NR_027714	0.00	0.00
ACTR3BP5	NR_045000	0.00	0.00
ACTR3C	NM_001164458,NM_001164459	0.00	0.00
ACTR5	NM_024855	33.00	59.00
ACTR6	NM_022496,NR_048568,NR_048569	51.00	84.00
ACTR8	NM_022899	51.00	85.00
ACTRT1	NM_138289	0.00	0.00
ACTRT2	NM_080431	0.00	0.00
ACTRT3	NM_032487	5.00	7.00
ACVR1	NM_001105,NM_001111067	89.00	139.00
ACVR1B	NM_004302,NM_020327,NM_020328	175.00	138.00
ACVR1C	NM_001111031,NM_001111032,NM_001111033,NM_145259	1.00	2.00
ACVR2A	NM_001278579,NM_001278580,NM_001616	55.00	37.00
ACVR2B	NM_001106	64.00	190.00
ACVR2B-AS1	NR_028389	0.00	0.00
ACVRL1	NM_000020,NM_001077401	107.00	35.00
ACY1	NM_000666,NM_001198895,NM_001198896,NM_001198897,NM_001198898	115.09	96.00
ACY3	NM_080658	0.00	0.00
ACYP1	NM_001107,NM_001302616,NM_001302617,NR_126393,NR_126394,NR_126395	3.00	3.00
ACYP2	NM_138448	1.00	3.00
ADA	NM_000022	46.00	76.00
ADAD1	NM_001159285,NM_001159295,NM_139243	0.00	0.00
ADAD2	NM_001145400,NM_139174	1.00	3.00
ADAL	NM_001012969,NM_001159280	7.00	20.00
ADAM10	NM_001110	390.00	368.00
ADAM11	NM_002390	9.00	7.00
ADAM12	NM_001288973,NM_001288974,NM_001288975,NM_003474,NM_021641	69.00	40.00
ADAM15	NM_001261464,NM_001261465,NM_001261466,NM_003815,NM_207191,NM_207194,NM_207195,NM_207196,NM_207197,NR_048577,NR_048578,NR_048579	195.00	96.00
ADAM17	NM_003183	148.00	143.00
ADAM18	NM_001190956,NM_014237_1	5.00	4.00
ADAM19	NM_033274	466.00	747.00
ADAM1A	NR_036636	4.00	8.00
ADAM2	NM_001278113,NM_001278114_1,NM_001464_1	0.00	0.00
ADAM20	NM_003814	0.00	0.00
ADAM20P1	NR_037933	0.00	1.00
ADAM21	NM_003813	0.00	0.00
ADAM21P1	NR_003951	0.00	0.00
ADAM22	NM_004194,NM_016351,NM_021721,NM_021722,NM_021723	5.00	3.00
ADAM23	NM_003812	23.00	26.00
ADAM28	NM_001304351,NM_014265,NM_021777,NR_130709,NR_130710	0.00	0.00
ADAM29	NM_001130703,NM_001130704,NM_001130705,NM_001278125,NM_001278126,NM_001278127,NM_014269	0.00	0.00
ADAM30	NM_021794	0.00	0.00
ADAM32	NM_145004_1	0.00	0.00
ADAM33	NM_001282447,NM_025220,NM_153202	3.00	8.00
ADAM3A	NR_001569,NR_024106,NR_024107,NR_073423	0.00	0.00
ADAM5	NR_001448	0.00	0.00
ADAM6	NR_002224	0.00	0.00
ADAM7	NM_003817	0.00	0.00
ADAM8	NM_001109,NM_001164489,NM_001164490	39.00	22.00
ADAM9	NM_003816_1,NR_027638,NR_027639,NR_027878	261.00	100.00
ADAMDEC1	NM_001145271,NM_001145272,NM_014479	0.00	0.00
ADAMTS1	NM_006988	534.00	94.00
ADAMTS10	NM_001282352,NM_030957	8.00	0.00
ADAMTS12	NM_030955	107.00	80.00
ADAMTS13	NM_139025,NM_139026,NM_139027,NR_024514	5.00	1.00
ADAMTS14	NM_080722,NM_139155	1.00	2.00
ADAMTS15	NM_139055	108.00	36.00
ADAMTS16	NM_139056	0.00	0.00
ADAMTS17	NM_139057	4.00	1.00
ADAMTS18	NM_199355	17.00	2.00
ADAMTS19	NM_133638	24.00	3.00
ADAMTS19-AS1	NR_125748	0.00	0.00
ADAMTS2	NM_014244,NM_021599	10.00	5.00
ADAMTS20	NM_025003	32.00	14.00
ADAMTS3	NM_014243	14.00	13.00
ADAMTS4	NM_005099	3.00	4.00
ADAMTS5	NM_007038	2.00	1.00
ADAMTS6	NM_197941	15.00	3.00
ADAMTS7	NM_014272	44.00	15.00
ADAMTS7P1	NR_045529_1	0.00	0.00
ADAMTS8	NM_007037	8.00	7.00
ADAMTS9	NM_182920	424.00	98.00
ADAMTS9-AS1	NR_110150,NR_110151	2.00	0.00
ADAMTS9-AS2	NR_038264	0.00	0.00
ADAMTSL1	NM_001040272,NM_052866	23.00	12.00
ADAMTSL2	NM_001145320,NM_014694	14.00	44.00
ADAMTSL3	NM_001301110,NM_207517	9.00	7.00
ADAMTSL4	NM_001288607,NM_001288608,NM_019032,NM_025008	113.00	45.00
ADAMTSL4-AS1	NR_104133	0.00	0.00
ADAMTSL5	NM_213604	19.00	81.00
ADAP1	NM_001284308,NM_001284309,NM_001284310,NM_001284311,NM_006869	7.00	13.00
ADAP2	NM_018404	15.00	4.00
ADAR	NM_001025107,NM_001111,NM_001193495,NM_015840,NM_015841	528.00	810.00
ADARB1	NM_001112,NM_001160230,NM_015833,NM_015834,NR_027672,NR_027673,NR_027674,NR_073200	76.00	68.00
ADARB2	NM_018702	0.00	0.00
ADARB2-AS1	NR_033387	0.00	0.00
ADAT1	NM_012091,NR_036460	30.00	48.00
ADAT2	NM_001286259,NM_182503	5.00	12.00
ADAT3	NM_138422	52.00	100.00
ADCK1	NM_001142545,NM_020421	42.00	60.00
ADCK2	NM_052853	26.00	63.00
ADCK3	NM_020247	26.00	83.00
ADCK4	NM_001142555,NM_024876	67.00	60.00
ADCK5	NM_174922	17.00	30.00
ADCY1	NM_001281768,NM_021116	13.00	28.00
ADCY10	NM_001167749,NM_001297772,NM_018417	3.00	3.00
ADCY10P1	NR_026938	3.00	1.00
ADCY2	NM_020546	0.00	2.00
ADCY3	NM_004036	73.00	110.00
ADCY4	NM_001198568,NM_001198592,NM_139247	0.00	0.00
ADCY5	NM_001199642,NM_183357	18.00	1.00
ADCY6	NM_015270	44.00	5.00
ADCY7	NM_001114,NM_001286057	14.00	10.00
ADCY8	NM_001115	1.00	1.00
ADCY9	NM_001116	149.00	31.00
ADCYAP1	NM_001099733,NM_001117	0.00	0.00
ADCYAP1R1	NM_001118,NM_001199635,NM_001199636,NM_001199637	6.00	4.00
ADD1	NM_001119,NM_001286645,NM_014189,NM_014190,NM_176801	693.00	856.00
ADD2	NM_001185054,NM_001185055,NM_001617,NM_017482,NM_017488	66.00	100.00
ADD3	NM_001121,NM_016824,NM_019903	135.00	196.00
ADD3-AS1	NR_038943	0.00	0.00
ADGB	NM_024694	0.00	0.00
ADGRA1	NM_001083909,NM_001291085	5.00	4.00
ADGRA1-AS1	NR_111905	0.00	0.00
ADGRA2	NM_032777	586.00	105.00
ADGRA3	NM_145290	147.00	237.00
ADGRB1	NM_001702	5.00	5.00
ADGRB2	NM_001294335,NM_001294336	15.00	4.00
ADGRB3	NM_001704	0.00	3.00
ADGRD1	NM_198827	32.00	22.00
ADGRE1	NM_001256252,NM_001256253,NM_001256254,NM_001256255,NM_001974	1.00	1.00
ADGRE2	NM_001271052,NM_013447	5.12	12.19
ADGRE3	NM_001289158,NM_001289159,NM_032571	0.00	0.00
ADGRE4P	NR_024075	0.00	0.00
ADGRE5	NM_001025160,NM_001784,NM_078481	99.88	188.81
ADGRF1	NM_025048,NM_153840	0.00	0.00
ADGRF2	NM_153839	0.00	2.00
ADGRF3	NM_001145168,NM_001145169,NM_153835	3.00	0.00
ADGRF4	NM_153838	0.00	0.00
ADGRF5	NM_001098518,NM_015234	0.00	0.00
ADGRG1	NM_001145770,NM_001145771,NM_001145772,NM_001145773,NM_001145774,NM_001290142,NM_001290143,NM_001290144,NM_005682,NM_201524,NM_201525	233.00	17.00
ADGRG2	NM_001079858,NM_001079859,NM_001079860,NM_001184833,NM_001184834,NM_001184835,NM_001184836,NM_001184837,NM_005756	28.00	55.00
ADGRG3	NM_001308360,NM_170776	0.00	0.00
ADGRG4	NM_153834	0.00	0.00
ADGRG5	NM_001304376,NM_153837	10.00	31.00
ADGRG6	NM_001032394,NM_001032395,NM_020455,NM_198569	9.00	6.00
ADGRG7	NM_001308362,NM_032787	0.00	0.00
ADGRL1	NM_001008701,NM_014921	134.00	386.00
ADGRL2	NM_001297704,NM_001297705,NM_001297706,NM_012302	254.00	310.00
ADGRL3	NM_015236	30.00	10.00
ADGRL3-AS1	NR_110595	0.00	0.00
ADGRL4	NM_022159	0.00	0.00
ADGRV1	NM_032119,NR_003149	11.00	17.00
ADH1A	NM_000667	0.00	0.00
ADH1B	NM_000668,NM_001286650	0.00	0.00
ADH1C	NM_000669	0.00	0.00
ADH4	NM_000670,NM_001306171,NM_001306172	0.00	0.00
ADH5	NM_000671	234.00	442.00
ADH6	NM_000672,NM_001102470	0.00	0.00
ADH7	NM_000673,NM_001166504	0.00	0.00
ADHFE1	NM_144650	0.00	4.00
ADI1	NM_001306077,NM_018269_1	191.00	517.00
ADIG	NM_001018082,NR_130907	0.00	0.00
ADIPOQ	NM_001177800,NM_004797	2.00	0.00
ADIPOQ-AS1	NR_046662	0.00	0.00
ADIPOR1	NM_001290553,NM_001290557,NM_001290629,NM_015999	255.00	387.00
ADIPOR2	NM_024551	201.00	268.00
ADIRF	NM_006829	0.00	1.00
ADK	NM_001123,NM_001202449,NM_001202450,NM_006721	64.00	43.00
ADM	NM_001124	97.00	27.00
ADM2	NM_001253845,NM_024866	41.00	30.00
ADM5	NM_001101340	18.00	34.00
ADNP	NM_001282531,NM_001282532,NM_015339,NM_181442	346.00	615.00
ADNP-AS1	NR_110007,NR_110008,NR_110009	0.00	0.00
ADNP2	NM_014913	166.00	281.00
ADO	NM_032804	70.00	137.00
ADORA1	NM_000674,NM_001048230	31.00	14.00
ADORA2A	NM_000675,NM_001278497,NM_001278498,NM_001278499,NM_001278500,NR_103543,NR_103544	5.00	15.00
ADORA2A-AS1	NR_028483,NR_028484	0.00	0.00
ADORA2B	NM_000676	62.00	25.00
ADORA3	NM_000677,NM_001302678,NM_001302679	0.00	0.00
ADPGK	NM_031284,NR_023318,NR_023319	198.00	360.00
ADPGK-AS1	NR_040107	0.00	0.00
ADPRH	NM_001125,NM_001291949,NM_001291950	2.00	2.00
ADPRHL1	NM_138430,NM_199162	5.00	3.00
ADPRHL2	NM_017825	59.00	89.00
ADPRM	NM_020233	10.00	5.00
ADRA1A	NM_000680,NM_033302,NM_033303,NM_033304	0.00	0.00
ADRA1B	NM_000679	6.00	2.00
ADRA1D	NM_000678	1.00	0.00
ADRA2A	NM_000681	6.00	1.00
ADRA2B	NM_000682	3.00	0.00
ADRA2C	NM_000683	50.00	172.00
ADRB1	NM_000684	2.00	0.00
ADRB2	NM_000024	1.00	1.00
ADRB3	NM_000025	17.00	2.00
ADRBK1	NM_001619	173.00	182.00
ADRBK2	NM_005160	62.00	116.00
ADRM1	NM_001281437,NM_001281438,NM_007002,NM_175573	377.00	607.00
ADSL	NM_000026,NM_001123378	193.00	283.00
ADSS	NM_001126	64.00	149.00
ADSSL1	NM_152328,NM_199165	2.00	2.00
ADTRP	NM_001143948,NM_032744	117.00	51.00
AEBP1	NM_001129	289.00	68.00
AEBP2	NM_001114176,NM_001267043,NM_153207	98.00	130.00
AEN	NM_022767	424.00	981.00
AES	NM_001130,NM_198969,NM_198970	128.00	84.00
AFAP1	NM_001134647,NM_198595	133.00	262.00
AFAP1-AS1	NR_026892	1.00	1.00
AFAP1L1	NM_001146337,NM_152406	39.00	139.00
AFAP1L2	NM_001001936,NM_001287824,NM_032550	88.00	23.00
AFF1	NM_001166693,NM_005935	83.00	287.00
AFF2	NM_001169122,NM_001169123,NM_001169124,NM_001169125,NM_001170628,NM_002025	27.00	34.00
AFF3	NM_001025108,NM_002285	4.00	7.00
AFF4	NM_014423	277.00	302.00
AFG3L1P	NR_003226,NR_003227,NR_003228	26.00	54.00
AFG3L2	NM_006796	221.00	669.00
AFM	NM_001133	0.00	0.00
AFMID	NM_001010982,NM_001145526,NR_027083	36.00	33.00
AFP	NM_001134	4.00	2.00
AFTPH	NM_001002243,NM_017657,NM_203437	48.00	54.00
AGA	NM_000027,NM_001171988,NR_033655	10.00	10.00
AGAP1	NM_001037131,NM_001244888,NM_014914	128.00	161.00
AGAP1-IT1	NR_131900	0.00	3.00
AGAP11	NM_133447	0.00	1.10
AGAP2	NM_001122772,NM_014770	3.00	2.00
AGAP2-AS1	NR_027032	0.00	0.00
AGAP3	NM_001042535,NM_001281300,NM_001308304,NM_001308305,NM_031946	164.00	102.00
AGAP4	NM_001276343,NM_001291379,NM_133446	11.41	20.89
AGAP5	NM_001144000	9.96	10.60
AGAP6	NM_001077665	22.97	49.90
AGAP7P	NR_126580	16.44	20.82
AGAP9	NM_001190810	23.22	30.69
AGBL1	NM_152336	0.00	0.00
AGBL1-AS1	NR_046012	0.00	0.00
AGBL2	NM_024783	0.00	0.00
AGBL3	NM_178563	0.00	0.00
AGBL4	NM_032785	1.00	3.00
AGBL4-IT1	NR_046839	0.00	0.00
AGBL5	NM_001035507,NM_021831,NR_104246	52.00	44.00
AGBL5-AS1	NR_046730	0.00	0.00
AGER	NM_001136,NM_001206929,NM_001206932_2,NM_001206934_6,NM_001206936_6,NM_001206940_2,NM_001206954,NM_001206966,NM_172197,NR_038190	11.00	12.00
AGFG1	NM_001135187,NM_001135188,NM_001135189,NM_004504	506.00	592.00
AGFG2	NM_006076	25.00	40.00
AGGF1	NM_018046	53.00	116.00
AGK	NM_018238	68.00	92.00
AGL	NM_000028,NM_000642,NM_000643,NM_000644,NM_000645,NM_000646	353.00	1271.00
AGMAT	NM_024758	3.00	4.00
AGMO	NM_001004320	2.00	0.00
AGO1	NM_012199	149.00	421.00
AGO2	NM_001164623,NM_012154	41.00	104.00
AGO3	NM_024852,NM_177422	17.00	13.00
AGO4	NM_017629	16.00	64.00
AGPAT1	NM_006411,NM_032741_3	227.00	197.00
AGPAT2	NM_001012727,NM_006412	97.00	271.00
AGPAT3	NM_001037553,NM_020132	78.00	49.00
AGPAT4	NM_020133	58.00	58.00
AGPAT4-IT1	NR_024277	0.00	1.00
AGPAT5	NM_018361	79.00	64.00
AGPS	NM_003659	157.00	169.00
AGR2	NM_006408	0.00	0.00
AGR3	NM_176813	0.00	0.00
AGRN	NM_001305275,NM_198576	541.00	580.00
AGRP	NM_001138	0.00	0.00
AGT	NM_000029	0.00	0.00
AGTPBP1	NM_001286715,NM_001286717,NM_015239	59.00	116.00
AGTR1	NM_000685,NM_004835,NM_009585,NM_031850,NM_032049	1.00	0.00
AGTR2	NM_000686	0.00	0.00
