gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
SLC18B1	NM_052831	11.00	14.00
SLC19A1	NM_001205206,NM_001205207,NM_194255	91.00	66.00
SLC19A2	NM_006996	39.00	27.00
SLC19A3	NM_025243	64.00	77.00
SLC1A1	NM_004170	6.00	1.00
SLC1A2	NM_001195728,NM_001252652,NM_004171	21.00	39.00
SLC1A3	NM_001166695,NM_001166696,NM_001289939,NM_001289940,NM_004172	115.00	99.00
SLC1A4	NM_001193493,NM_003038	18.00	16.00
SLC1A5	NM_001145144,NM_001145145,NM_005628	573.00	622.00
SLC1A6	NM_001272087,NM_001272088,NM_005071,NR_073589	4.00	1.00
SLC1A7	NM_001287595,NM_001287596,NM_001287597,NM_006671,NR_109858	0.00	0.00
SLC20A1	NM_005415	115.00	225.00
SLC20A2	NM_001257180,NM_001257181,NM_006749	91.00	54.00
SLC22A1	NM_003057,NM_153187	0.00	0.00
SLC22A10	NM_001039752	0.00	0.00
SLC22A11	NM_001307985,NM_018484	31.00	2.00
SLC22A12	NM_001276326,NM_001276327,NM_144585,NM_153378	0.00	0.00
SLC22A13	NM_004256	0.00	0.00
SLC22A14	NM_004803	0.00	0.00
SLC22A15	NM_018420	10.00	9.00
SLC22A16	NM_033125	0.00	0.00
SLC22A17	NM_001289050,NM_016609,NM_020372,NR_110290	40.00	9.00
SLC22A18	NM_002555,NM_183233	17.00	26.00
SLC22A18AS	NM_001302862_1,NM_007105_1	0.00	0.00
SLC22A2	NM_003058	0.00	1.00
SLC22A20	NM_001004326,NR_033396	0.00	1.00
SLC22A23	NM_001286455,NM_001286456,NM_015482,NM_021945,NR_104448	79.00	9.00
SLC22A24	NM_001136506,NM_173586	0.00	0.00
SLC22A25	NM_199352	0.00	0.00
SLC22A3	NM_021977	2.00	2.00
SLC22A31	NM_001242757	45.00	10.00
SLC22A4	NM_003059	2.00	2.00
SLC22A5	NM_001308122,NM_003060	16.00	20.00
SLC22A6	NM_004790,NM_153276,NM_153277,NM_153278	0.00	0.00
SLC22A7	NM_006672,NM_153320	0.00	0.00
SLC22A8	NM_001184732,NM_001184733,NM_001184736,NM_004254	1.00	0.00
SLC22A9	NM_080866	0.00	0.00
SLC23A1	NM_005847,NM_152685	0.00	0.00
