gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
ABCA6	ABCA6	0.059022	0	0.047742	0	0	0.040505	0.160476	0.270428	0	0.0676	0.137229	0.079499	0	0
ABCA7	ABCA7	17.29765	13.685462	27.126489	5.510871	6.650098	11.735256	21.588128	20.95025	22.045956	9.71845	20.601134	25.156665	37.449407	10.050355
ABCA8	ABCA8	0	0	0	0	0	0.069557	0	0	0	0	0	0.043115	0	0
ABCA9	ABCA9	0	0	0.048077	0	0	0.018127	0	0.116909	0	0	0	0.078683	0	0
ABCB1	ABCB1	1.258407	2.315543	0.775819	3.186863	2.433182	2.632813	4.013327	3.487529	5.350856	2.539046	1.092082	3.751412	5.100756	9.540128
ABCB10	ABCB10	6.118561	4.263004	7.323284	1.439221	2.875298	4.669162	5.601863	4.998139	6.091345	4.903989	5.066276	9.473608	6.294026	4.284886
ABCB11	ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	ABCB4	0.251409	0.607927	0.712474	0.368369	0.342771	0.335333	0.748665	0.915898	0.54507	0.195176	0.817207	0.395922	0.521722	1.166448
ABCB5	ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	ABCB6	0.760621	0.046311	0.523157	0.196467	0.208981	0.138106	0.363114	0.197602	0.641135	0	0.584259	0.795657	1.012589	0.02649
ABCB7	ABCB7	5.594625	4.535098	6.266007	2.604155	2.772691	3.505588	0.934144	4.81237	4.166674	3.054052	2.650484	8.019268	5.698181	2.483125
ABCB8	ABCB8	4.126378	1.867449	3.386266	0.957833	1.450351	1.301402	2.119229	1.865833	3.393473	1.428765	2.755744	4.879416	3.932034	1.266643
ABCB9	ABCB9	2.815728	0.193954	0.456409	0.323265	0	0.305385	0	0.259689	0	0.384907	0.907969	0.783042	1.370437	0.534642
ABCC1	ABCC1	8.0969	6.879869	8.642323	7.012102	11.531686	6.747278	8.547712	5.94763	8.985939	7.290629	11.065593	10.515056	12.193801	12.354111
ABCC10	ABCC10	2.300089	0.600947	1.469506	1.003249	0.556997	1.619079	1.175529	1.778287	4.638248	0.745986	2.396733	2.853694	3.690407	1.467832
ABCC11	ABCC11	0	0	0	0	0.188028	0	0	0	0	0	0.023887	0.018674	0	0
ABCC12	ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	ABCC13	0	0	0	0	0	0	0	0	0.205734	0	0	0	0	0.085015
ABCC2	ABCC2	0.124446	0.187035	0.246711	0.472182	0	0.784096	0.277515	0.437295	0.737192	0.154673	0.303541	0.24952	0.586545	0.410365
ABCC3	ABCC3	20.918321	2.285888	3.2392	4.334417	6.566779	0.671741	2.788291	2.022229	3.511798	0.584068	1.043696	9.567609	0.931929	2.135743
ABCC4	ABCC4	3.211088	1.065483	1.622956	2.068809	2.951438	0.89896	1.59055	1.220133	2.478029	1.060761	1.484175	3.838145	2.033747	1.148603
ABCC5	ABCC5	3.090741	0.442704	2.75092	1.418699	0.795941	0.773922	1.062669	1.287099	1.882046	0.473285	1.539476	3.298996	4.334078	0.398708
ABCC5-AS1	ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	ABCC6	0.803726	0.380794	1.124601	0	0	2.282069	0	0.079969	0.127253	0	0	1.490003	0.270466	0
ABCC6P1	ABCC6P1	0	0	0	0	0	0	0.270566	0	0	0	0	0	0	0
ABCC6P2	ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	0	0	0	0	0.124338	0.110848	0.016541	0.221277	0	0	0	0.019481	0.057372	0.054171
ABCD1	ABCD1	7.09678	3.091439	4.60223	1.3851	1.331158	3.098305	2.941256	4.112868	6.126077	1.320054	3.130316	8.155934	4.75486	2.766008
ABCD2	ABCD2	0.774148	1.340558	1.369764	0.182165	0.155344	0.76937	0.617188	0.993635	0.521285	0.795739	2.13113	2.147562	2.60005	0.401672
ABCD3	ABCD3	12.577874	10.897905	8.22431	8.21247	4.120494	11.691719	10.058653	10.035014	14.320037	11.360596	10.111072	14.28079	11.28568	15.108479
ABCD4	ABCD4	5.739535	2.37191	6.13882	3.179307	3.25931	4.436534	4.357255	4.840614	7.449474	1.674715	6.977933	11.302104	10.011923	5.355626
ABCE1	ABCE1	17.259401	20.073813	11.049558	15.598723	13.6441	21.021498	25.972012	29.343316	23.097681	24.660059	25.14324	22.297094	30.187537	31.893798
ABCF1	ABCF1	21.095123	17.21492	12.876843	25.003071	21.964428	28.782154	17.021245	33.580139	34.97496	19.616733	22.516123	24.559022	34.207803	32.040313
ABCF2	ABCF2	3.0842	1.341053	4.13558	1.370762	2.055728	1.236651	1.083073	2.609961	3.978071	2.216881	1.413706	6.276936	3.835052	2.317739
ABCF3	ABCF3	12.291719	10.842608	6.017081	14.854583	10.238606	13.097885	20.999557	23.696722	35.240581	7.6845	11.019877	14.193378	17.343808	27.392382
ABCG1	ABCG1	4.897787	9.387288	0.66835	12.47808	13.093074	11.062281	14.35395	20.182228	15.420049	9.407463	8.598951	4.298163	9.502666	21.000282
ABCG2	ABCG2	0.044678	0	0.119803	0	0.258891	0.153812	0.166174	0.100024	0.272775	0.325503	0.064607	0.181701	0.617229	0
ABCG4	ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026792
ABHD1	ABHD1	0.089387	0	0.536693	0	0.430295	0.402015	1.015173	0.692854	0	0.417065	0.774329	0.823186	0.458913	0
ABHD10	ABHD10	6.125619	6.576961	5.032122	5.370089	6.058895	7.16612	8.737152	6.803338	10.540769	7.682054	11.303138	7.623998	11.084691	8.367156
ABHD11	ABHD11	9.306459	6.277817	4.599232	1.660608	8.151441	2.127793	2.751538	5.498483	4.845823	1.557974	7.794328	6.821258	7.419285	1.687853
ABHD12	ABHD12	18.746236	9.674313	10.79853	11.211898	10.991087	10.079371	10.755343	11.766535	11.918245	5.175359	8.424459	19.505873	11.626421	15.550443
ABHD12B	ABHD12B	0.023043	0	0	0	0	0.062731	0	0	0	0	0	0.603143	0	0
ABHD13	ABHD13	10.686049	15.668695	9.919731	14.655787	5.080796	24.950782	14.821303	19.764952	14.884175	23.844502	19.468527	15.771756	20.195926	14.124197
ABHD14A	ABHD14A	11.780666	6.164547	17.12897	5.296726	4.421402	6.357517	8.529916	3.622777	4.304484	6.829422	7.590557	10.909218	18.582796	4.70632
ABHD14A-ACY1	ABHD14A-ACY1	0	0.508687	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	ABHD14B	36.788076	39.375783	48.320892	28.037982	28.565152	27.15431	39.002461	37.441273	42.756812	26.20944	38.834117	42.838269	54.682017	34.599368
ABHD15	ABHD15	12.683964	7.809557	7.400421	5.778735	4.010179	5.92012	6.557174	7.542958	6.746071	4.935205	5.297367	16.312045	8.660732	7.031295
ABHD16A	ABHD16A	18.5207	6.669544	13.549266	4.569688	6.561625	7.099899	5.354481	11.150973	10.271579	4.849228	6.96156	22.956607	12.068517	7.490386
ABHD16B	ABHD16B	3.994379	1.271095	1.114426	0.822257	0	0.828818	0.396815	0.412592	0.935471	0.630494	1.305936	3.762723	1.237267	0.435544
ABHD17A	ABHD17A	231.755297	95.067682	212.822417	69.803758	67.206388	66.522144	80.178794	83.378838	128.229583	66.00164	95.520621	277.682815	190.683962	69.669311
ABHD17B	ABHD17B	13.487238	7.196342	4.379423	10.625257	6.266813	7.020737	9.64837	9.625845	9.010942	7.619893	13.487969	17.62817	13.338198	12.688296
ABHD17C	ABHD17C	5.988522	1.554372	1.582477	1.367219	1.892186	2.361506	1.463104	6.646992	2.35994	2.086551	1.178595	2.460342	1.259551	2.787643
ABHD2	ABHD2	6.2379	2.624481	3.459631	1.832891	2.118594	3.121834	1.307096	4.71849	2.163967	2.503617	1.937963	9.343107	2.748269	3.021993
ABHD3	ABHD3	6.555594	2.855649	8.425344	2.423402	1.243884	2.810186	4.114508	7.794835	8.059673	4.077889	6.612732	10.908612	11.153699	3.561124
ABHD4	ABHD4	7.454698	1.990886	2.483183	0.930964	1.572862	1.816587	2.880488	2.919819	1.770268	1.608529	1.660574	8.542574	1.619448	1.983874
ABHD5	ABHD5	2.972228	1.912339	2.422055	2.847161	1.507494	3.581914	1.100458	3.522881	2.912306	2.046664	1.82095	4.624126	2.35119	1.731696
ABHD6	ABHD6	1.780056	0.510035	1.527617	0.218246	0	0.664212	0.156568	1.422099	1.032499	0.056899	0.7929	1.862729	0.364658	0.393972
ABHD8	ABHD8	6.064749	5.218348	5.847666	1.189118	2.333304	3.964373	3.541402	3.753694	4.790442	1.911089	3.069652	4.531291	5.493611	2.361548
ABI1	ABI1	35.092679	32.369816	27.849959	39.042733	32.35555	47.567825	42.184997	58.905059	47.247192	35.209339	34.395627	47.442752	57.324103	48.295934
ABI2	ABI2	3.807944	1.984672	1.97351	1.777747	1.006973	1.669139	1.706909	2.110368	3.155682	3.139621	2.795686	4.039005	4.326139	1.573737
ABI3	ABI3	13.440404	2.893904	6.946093	3.246158	1.82036	2.067896	2.095734	3.883679	3.400104	1.295422	1.860899	20.586078	6.279248	5.147524
ABI3BP	ABI3BP	0.081785	0.075608	0	0	0	0.193413	0	0.110425	0.167707	0	0.047648	0.018626	0	0
ABL1	ABL1	6.643587	6.249105	4.362488	6.583895	4.223421	6.554746	6.255097	13.026985	12.358374	5.875917	5.666293	10.109202	10.055041	16.461268
ABL2	ABL2	1.631868	1.320152	1.252376	1.280368	0.993613	1.175869	0.71955	2.219717	1.872104	1.342534	1.777257	2.306274	2.756589	2.099341
ABLIM1	ABLIM1	14.691661	15.946264	11.123154	6.774622	9.41952	8.810722	7.668863	11.964414	20.97168	12.076423	22.694732	18.335967	28.497511	16.920011
ABLIM2	ABLIM2	0.096792	0	0.486293	0.746169	0	0.135434	0.338293	0.170469	0.868857	0.194315	0.69016	0.40695	0.44198	0.139848
ABLIM3	ABLIM3	21.852007	3.789889	2.740246	2.151575	6.025775	0.660965	1.025672	1.552301	1.395861	0.50823	0.807076	14.910622	0.269445	2.313957
ABO	ABO	0	0	0	0	0	0.082945	0	0	0	0.435601	0	0.710216	0	0
ABR	ABR	20.564355	9.28381	12.021099	4.987307	2.83814	7.55047	6.86188	17.536485	14.639989	5.889166	11.336945	25.405345	18.841848	9.567066
ABRA	ABRA	0	0	0	0	0	0	0	0.15617	0	0	0	0	0.155673	0
ABRACL	ABRACL	87.221045	43.153004	69.542093	42.247296	17.319694	35.705193	26.72949	42.060917	38.97962	50.552831	36.80296	89.099831	45.549689	21.765931
ABT1	ABT1	28.396742	25.497756	15.433555	30.837979	24.636939	31.336742	28.666569	30.751215	38.382961	25.773721	37.099829	29.330159	28.393797	38.352831
ABTB1	ABTB1	65.577277	21.158968	48.313337	15.721138	25.637224	14.720603	24.85571	29.011199	36.8328	17.993589	35.634358	83.850361	46.348557	16.87408
ABTB2	ABTB2	0.667896	0.740631	0.175782	0.216048	1.035913	0.526348	1.753319	1.171323	0.532514	0.748607	0.356482	0.895936	0.149823	1.774416
AC000099.1	AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000124.1	AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.7	AC002116.7	0.308166	0	0.82574	0	0	0	0	0.767053	0	0	0.25488	0.183777	0	1.618808
AC002398.5	AC002398.5	0.062412	0	0	0	0	0	0	0	0	0	0	0.081047	0	0
AC002454.1	AC002454.1	0.642031	0	1.781762	0	0	0	0	0	0	0	0	1.732519	0	0
AC002463.3	AC002463.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.3	AC002480.3	0	0	0.265793	0	0	0	0	0	0	0	0.139344	0.108044	0.465012	0
AC002511.1	AC002511.1	0	0	0	0	0	0.089103	0	0	0	0	0	0	0.203167	0
AC003051.1	AC003051.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003102.3	AC003102.3	0.074825	0.119861	0.080327	0	0	0.011358	0	0.178736	0.036937	0	0.062934	0.032835	0.096984	0.198227
AC003665.1	AC003665.1	0	0	0.174366	0	0	0.170224	0.320479	0.188496	0	0	0.2465	0.278923	0	0
AC003958.2	AC003958.2	0	0	0	0	0	0.057403	0	0	0	0	0	0	0	0
AC003984.1	AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.13	AC004019.13	0	0	0	0	0	0	0	0	0	0.080724	0	0.049532	0.19798	0
AC004053.1	AC004053.1	0	0	0	0	0	0	0	0	0	0	0	0.057603	0	0
AC004603.4	AC004603.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004862.6	AC004862.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004893.11	AC004893.11	0.835115	0.505917	0.35345	0.122633	1.027107	0.276449	0.656308	0.370147	0.280299	0.240973	0.478535	1.244494	0.66355	0.972571
AC005022.1	AC005022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005029.1	AC005029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005062.2	AC005062.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005235.1	AC005235.1	0.094077	0	0.056581	0	0	0.021339	0	0	0	0	0	0.061426	0	0
AC005264.2	AC005264.2	0.142589	0.119219	0.06928	0	0	0	0	0.25421	0	0.118289	0	0.182328	0	0.136311
AC005358.3	AC005358.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005550.4	AC005550.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005592.2	AC005592.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
